"ZIP","ozone","STATE"
"00012",45.6963589691805,"CA"
"00014",46.9781904122477,"AZ"
"00015",48.3285979303334,"AZ"
"00016",51.5601436573556,"CA"
"00017",51.755013418547,"CA"
"00018",47.5405248730516,"CA"
"00019",44.8484530088069,"CA"
"00020",50.4113260154167,"CA"
"00022",35.4397676824768,"CA"
"00026",51.9508353949844,"CA"
"00027",53.9104832031372,"CO"
"00028",45.3563192647052,"CA"
"00029",45.0595347239181,"CA"
"00031",45.6721566778052,"CA"
"00032",42.989864548709,"CA"
"00033",46.323365260031,"CA"
"00034",40.7154372986326,"CA"
"00035",41.1477839089495,"CA"
"00037",42.1107356405711,"CA"
"00038",44.4519082775881,"CA"
"00039",39.3835747926677,"CA"
"00040",50.374414183752,"CA"
"00041",33.8312146557335,"FL"
"00042",37.9678981590649,"FL"
"00043",34.5069488426254,"FL"
"00044",48.0039035995834,"CA"
"00045",36.1184121404765,"FL"
"00047",41.3198004494455,"CA"
"00048",39.0605167691524,"CA"
"00049",37.3935824062738,"CA"
"00050",37.0268726230421,"CA"
"00051",46.3662934963909,"CA"
"00052",45.6661641094313,"CA"
"00053",35.0379187351672,"FL"
"00054",33.4846607372706,"CA"
"00055",38.5439059114496,"CA"
"00056",41.8247625700889,"ID"
"00057",41.373452205688,"CA"
"00058",50.4970722722653,"CA"
"00059",36.1874983771464,"MN"
"00060",35.5464670479692,"MN"
"00061",43.42238951156,"CA"
"00063",38.4666332927009,"MT"
"00064",48.5781852383191,"NM"
"00065",45.8904997576844,"CA"
"00066",46.7407474716863,"NM"
"00067",43.8858190432132,"OK"
"00068",35.9341059043965,"OR"
"00069",37.7945295326787,"OR"
"00070",35.0401588601645,"OR"
"00071",48.304717925457,"UT"
"00072",36.6582008952147,"WA"
"00073",38.7104286551203,"WA"
"00074",36.3553539800216,"WA"
"00076",37.4775321541003,"WA"
"00077",36.0802495433043,"OR"
"00084",38.6601366533836,"NC"
"00087",38.3020266706325,"FL"
"00097",34.7332328614795,"FL"
"00098",34.8810116003375,"FL"
"00100",47.7230225683051,"UT"
"00116",39.5535491720498,"LA"
"00119",40.5312980887675,"LA"
"00121",40.1974706696373,"LA"
"00125",34.4616809535692,"ME"
"00126",36.6696047891142,"ME"
"00127",34.3876874785255,"ME"
"00128",38.827075427218,"ME"
"00130",34.0924472437856,"ME"
"00132",35.3793624811519,"ME"
"00133",36.301747215079,"ME"
"00134",34.726968766802,"ME"
"00135",34.7184453768395,"ME"
"00137",33.6254861315117,"ME"
"00138",33.9645698935667,"ME"
"00139",38.8768068045885,"ME"
"00141",33.750993478821,"ME"
"00148",33.637745470794,"ME"
"00151",34.1234707845501,"ME"
"00152",41.0807965354831,"MD"
"00158",38.6775725104639,"MA"
"00160",35.8391667421641,"MN"
"00161",34.942454047463,"MN"
"00164",37.443318845379,"MN"
"00165",37.2224082539993,"MN"
"00166",37.3826633979153,"MN"
"00168",41.8716303164343,"NH"
"00172",43.5640128870594,"NH"
"00173",45.5796395325459,"NH"
"00174",45.6705467381311,"NH"
"00176",45.5910892775878,"NH"
"00177",44.2066401297084,"NH"
"00179",46.1945493633767,"NH"
"00180",44.8679104784457,"NH"
"00181",44.9025617523583,"NH"
"00182",45.4926412094187,"NH"
"00183",41.1072534876261,"NH"
"00184",41.3145702634044,"NH"
"00185",42.7475239395967,"NH"
"00188",36.2764128539982,"TX"
"00195",32.7080091372979,"WA"
"00197",47.011198314523,"AZ"
"00199",53.9456116477144,"AZ"
"00501",38.7246156812848,"NY"
"00544",38.7246156812848,"NY"
"01001",38.5644591798074,"MA"
"01002",38.2797622931998,"MA"
"01003",37.7637259378315,"MA"
"01004",39.6531431737766,"MA"
"01005",39.0980607128512,"MA"
"01007",39.2303132883572,"MA"
"01008",38.9065591151124,"MA"
"01009",39.7912865021728,"MA"
"01010",39.4915242416134,"MA"
"01011",38.9468530272628,"MA"
"01012",38.5957935196723,"MA"
"01013",38.0154759241729,"MA"
"01014",39.1141220289066,"MA"
"01020",38.0452534120684,"MA"
"01021",39.1848770224501,"MA"
"01022",38.294319454748,"MA"
"01026",39.152785211418,"MA"
"01027",38.3473885214895,"MA"
"01028",39.1951839094755,"MA"
"01029",38.9425255169209,"MA"
"01030",38.5664925329477,"MA"
"01031",39.320752812217,"MA"
"01032",38.5211508192575,"MA"
"01033",38.4645959388855,"MA"
"01034",39.1387664667047,"MA"
"01035",37.8318394934374,"MA"
"01036",39.7882225774957,"MA"
"01037",39.6145640546919,"MA"
"01038",37.779174127033,"MA"
"01039",38.018027330598,"MA"
"01040",38.1230035689162,"MA"
"01041",39.23207767817,"MA"
"01050",38.6844045945982,"MA"
"01053",38.1537240807563,"MA"
"01054",38.0992791268034,"MA"
"01056",38.4673251965051,"MA"
"01057",39.696637875611,"MA"
"01059",39.3843956656912,"MA"
"01060",37.8414697352323,"MA"
"01061",39.4648113678942,"MA"
"01062",38.0859066106934,"MA"
"01063",37.7206994100481,"MA"
"01066",39.6964506047635,"MA"
"01068",39.1979882643371,"MA"
"01069",39.2751591691385,"MA"
"01070",39.4663407826841,"MA"
"01071",38.7541595418245,"MA"
"01072",38.3840747396521,"MA"
"01073",38.4142357855653,"MA"
"01074",38.7630142690691,"MA"
"01075",38.135705846018,"MA"
"01077",38.7923955419632,"MA"
"01079",39.6989561739828,"MA"
"01080",39.0161369563333,"MA"
"01081",39.9148515432713,"MA"
"01082",39.5016997374763,"MA"
"01083",39.7957085645667,"MA"
"01084",38.7744709803214,"MA"
"01085",38.4959374961491,"MA"
"01086",39.0199972746442,"MA"
"01088",37.8373102013553,"MA"
"01089",38.255766033943,"MA"
"01090",39.096262953084,"MA"
"01092",39.3907889825192,"MA"
"01093",39.3974476562586,"MA"
"01094",38.8098554051556,"MA"
"01095",38.8115658585894,"MA"
"01096",38.3827963588539,"MA"
"01097",39.0297678650413,"MA"
"01098",39.0159329429252,"MA"
"01101",39.2023798214227,"MA"
"01102",39.2023798214227,"MA"
"01103",37.3809903083676,"MA"
"01104",37.8564504155523,"MA"
"01105",38.1780922228955,"MA"
"01106",38.8755206723571,"MA"
"01107",37.8702178099024,"MA"
"01108",38.4605918393882,"MA"
"01109",38.2568035664213,"MA"
"01111",39.1121195788545,"MA"
"01115",39.2023798214227,"MA"
"01116",39.0374973527051,"MA"
"01118",38.489714782659,"MA"
"01119",38.3319624078147,"MA"
"01128",38.7589711236844,"MA"
"01129",38.368363677221,"MA"
"01138",39.0623371930343,"MA"
"01139",39.0864901483227,"MA"
"01144",39.2023798214227,"MA"
"01151",38.0453681823338,"MA"
"01152",39.1714678182892,"MA"
"01199",39.0695610574763,"MA"
"01201",39.6167513139453,"MA"
"01202",39.1332064798585,"MA"
"01203",39.1332064798585,"MA"
"01220",40.6726973742804,"MA"
"01222",39.591981099784,"MA"
"01223",39.2456944974452,"MA"
"01224",39.946562337557,"MA"
"01225",40.4498398380477,"MA"
"01226",39.9174775026994,"MA"
"01227",39.3041276860568,"MA"
"01229",38.9521346123203,"MA"
"01230",39.2059925386748,"MA"
"01235",39.4744037919401,"MA"
"01236",39.0546548505356,"MA"
"01237",40.4223381074098,"MA"
"01238",39.1671298927833,"MA"
"01240",39.2856917953465,"MA"
"01242",38.9952968667578,"MA"
"01243",39.1329327607569,"MA"
"01244",38.9237442080345,"MA"
"01245",39.2729286082035,"MA"
"01247",40.4375765284626,"MA"
"01252",38.9311755075892,"MA"
"01253",39.0791456269875,"MA"
"01254",39.2279501688967,"MA"
"01255",39.4286119800637,"MA"
"01256",40.2800586793052,"MA"
"01257",39.3790628924476,"MA"
"01258",39.3937951329822,"MA"
"01259",39.6405615423608,"MA"
"01260",38.9599034052396,"MA"
"01262",39.0566755325926,"MA"
"01263",38.9489626460429,"MA"
"01264",38.9439059455534,"MA"
"01266",39.1101574266629,"MA"
"01267",40.4472891733223,"MA"
"01270",39.9962115946048,"MA"
"01301",38.1295160557761,"MA"
"01302",39.5276070945411,"MA"
"01330",38.8546587091406,"MA"
"01331",38.786192166339,"MA"
"01337",38.2285854042302,"MA"
"01338",38.8868909981199,"MA"
"01339",39.5507175417582,"MA"
"01340",38.8063425954117,"MA"
"01341",38.3323281824439,"MA"
"01342",38.1567554235293,"MA"
"01343",40.3084345927174,"MA"
"01344",38.286681859631,"MA"
"01346",39.2988116066038,"MA"
"01347",39.3674623774663,"MA"
"01349",38.2750528936367,"MA"
"01350",40.1103669854926,"MA"
"01351",38.1798739655916,"MA"
"01354",38.2520856351242,"MA"
"01355",38.926880196305,"MA"
"01360",38.0951442611995,"MA"
"01364",38.481853217609,"MA"
"01366",39.042273630125,"MA"
"01367",39.8656426790857,"MA"
"01368",38.5824441360579,"MA"
"01370",38.7182240386549,"MA"
"01373",37.9076258884234,"MA"
"01375",37.9166591223119,"MA"
"01376",38.2513654867643,"MA"
"01378",38.1325865457967,"MA"
"01379",38.4035263450345,"MA"
"01380",38.9405118394898,"MA"
"01420",39.0129045875679,"MA"
"01430",39.7676436832522,"MA"
"01431",39.8222687776551,"MA"
"01432",38.2205066873,"MA"
"01434",38.3551439200888,"MA"
"01436",38.9441139845235,"MA"
"01438",38.7460073529107,"MA"
"01440",39.1167013945381,"MA"
"01441",38.8017629892457,"MA"
"01450",38.3910064875193,"MA"
"01451",38.2795433322031,"MA"
"01452",39.0584468762337,"MA"
"01453",38.6678023617667,"MA"
"01460",38.1089655437672,"MA"
"01462",38.8166690142832,"MA"
"01463",38.5892693682259,"MA"
"01464",38.5437381966003,"MA"
"01467",37.2003138808239,"MA"
"01468",38.9566873067189,"MA"
"01469",39.0213328110409,"MA"
"01470",37.5353635345898,"MA"
"01471",37.3178347975802,"MA"
"01472",37.5750183116434,"MA"
"01473",39.1032949573459,"MA"
"01474",39.3739382536068,"MA"
"01475",39.3800896454521,"MA"
"01477",38.8007685315195,"MA"
"01501",38.8509606577106,"MA"
"01503",38.3814825717365,"MA"
"01504",38.5276844885409,"MA"
"01505",38.7000241146251,"MA"
"01506",39.3131518995532,"MA"
"01507",39.2315148945935,"MA"
"01508",39.6165613093649,"MA"
"01509",39.4922731522965,"MA"
"01510",38.3369192498018,"MA"
"01515",39.2557649178157,"MA"
"01516",38.9593916747149,"MA"
"01517",37.9460500463258,"MA"
"01518",39.3959153697933,"MA"
"01519",38.5060240075619,"MA"
"01520",38.9283841615303,"MA"
"01521",39.7990927549133,"MA"
"01522",38.998080223704,"MA"
"01523",38.4640990706332,"MA"
"01524",39.1061444346811,"MA"
"01525",40.0675817998833,"MA"
"01526",39.8466615816089,"MA"
"01527",38.7502633711179,"MA"
"01529",38.5226845149184,"MA"
"01531",39.3230725975569,"MA"
"01532",38.3842537787322,"MA"
"01534",38.4735819869259,"MA"
"01535",39.2519841709607,"MA"
"01536",38.4256088940045,"MA"
"01537",39.0474140626273,"MA"
"01538",39.9480385522172,"MA"
"01540",39.0974464659181,"MA"
"01541",38.9875914185493,"MA"
"01542",39.1051046467166,"MA"
"01543",39.0838755074629,"MA"
"01545",38.5184706484895,"MA"
"01546",38.2301659403883,"MA"
"01550",39.4654553349901,"MA"
"01560",38.4944451743201,"MA"
