"ZIP","ozone","STATE"
"00012",41.559356526133,"CA"
"00014",44.7757778515178,"AZ"
"00015",47.2319089332437,"AZ"
"00016",51.3426930376932,"CA"
"00017",50.9374609398987,"CA"
"00018",48.9982848706447,"CA"
"00019",42.378597981482,"CA"
"00020",47.7496317499804,"CA"
"00022",29.7673627582271,"CA"
"00026",51.8518177967798,"CA"
"00027",51.8077255705276,"CO"
"00028",42.1888140368172,"CA"
"00029",45.5730980106852,"CA"
"00031",43.3136163000448,"CA"
"00032",43.1549885588588,"CA"
"00033",44.340173943858,"CA"
"00034",39.8722256850716,"CA"
"00035",40.6872981968643,"CA"
"00037",40.8301212961851,"CA"
"00038",42.9598530325572,"CA"
"00039",39.514321727822,"CA"
"00040",48.2172798665121,"CA"
"00041",33.6923218942355,"FL"
"00042",38.6321912761659,"FL"
"00043",35.6363643888773,"FL"
"00044",46.9786332343123,"CA"
"00045",38.9178281284702,"FL"
"00047",38.6465363799276,"CA"
"00048",36.7658832491597,"CA"
"00049",39.5629629941938,"CA"
"00050",40.8688253331345,"CA"
"00051",45.1429702445777,"CA"
"00052",44.6559041132487,"CA"
"00053",33.533775859815,"FL"
"00054",38.7913956124034,"CA"
"00055",41.6106633696572,"CA"
"00056",42.7427124343312,"ID"
"00057",41.559228899625,"CA"
"00058",45.4332966001708,"CA"
"00059",37.6871177269457,"MN"
"00060",37.1591398064601,"MN"
"00061",42.8569140211654,"CA"
"00063",39.4644843952779,"MT"
"00064",46.9918312969348,"NM"
"00065",44.3147463984841,"CA"
"00066",45.1817002880609,"NM"
"00067",42.8553445332166,"OK"
"00068",36.4183241184544,"OR"
"00069",38.0760692669426,"OR"
"00070",36.7505559554503,"OR"
"00071",47.7960427570374,"UT"
"00072",34.8479416498183,"WA"
"00073",36.0780313705318,"WA"
"00074",36.7474328485542,"WA"
"00075",46.69651084197,"MT"
"00076",35.0185867269638,"WA"
"00077",36.8071551276759,"OR"
"00078",46.5206053867714,"ID"
"00082",37.3206733393783,"VT"
"00083",29.0202065554539,"NY"
"00084",40.1485244108176,"NC"
"00087",39.2398751275243,"FL"
"00097",36.0844743756426,"FL"
"00098",36.2793186260571,"FL"
"00100",50.191383802158,"UT"
"00116",42.5951829437425,"LA"
"00119",43.270936773674,"LA"
"00120",43.2710751702688,"LA"
"00121",42.414452211061,"LA"
"00122",43.2526728951442,"LA"
"00125",35.0759586416212,"ME"
"00126",36.4929472433274,"ME"
"00127",35.4628356543374,"ME"
"00128",35.0401563031208,"ME"
"00130",34.4852984591164,"ME"
"00132",36.3326664751891,"ME"
"00133",36.4604028612635,"ME"
"00134",35.2064172487854,"ME"
"00135",35.5258845005225,"ME"
"00137",33.8649295153192,"ME"
"00138",34.6526542732237,"ME"
"00139",36.3701194340396,"ME"
"00140",36.6708331527358,"ME"
"00141",33.7446287431068,"ME"
"00145",35.7834941725573,"ME"
"00147",37.0669310848857,"ME"
"00148",34.0454534127914,"ME"
"00151",34.3671866929037,"ME"
"00152",40.7369789207116,"MD"
"00157",33.774616135691,"MA"
"00158",39.2692819578622,"MA"
"00159",39.506405058892,"MA"
"00160",37.18683467066,"MN"
"00161",36.4566831316182,"MN"
"00164",37.6578867462494,"MN"
"00165",37.7897864022414,"MN"
"00166",37.6480385870297,"MN"
"00168",37.7809728943434,"NH"
"00169",36.4037812492425,"NH"
"00170",35.0658019268167,"NH"
"00172",39.8444665052412,"NH"
"00173",41.2127179356801,"NH"
"00174",41.6863740737234,"NH"
"00176",42.924247645801,"NH"
"00177",37.8238879119825,"NH"
"00179",41.3956839109264,"NH"
"00180",42.1596720828117,"NH"
"00181",40.6067183034311,"NH"
"00182",39.2724939223374,"NH"
"00183",34.8769515098767,"NH"
"00184",34.310660153109,"NH"
"00185",39.6761997810968,"NH"
"00186",36.3457319612572,"NH"
"00187",35.9015859188956,"NH"
"00188",35.7402714312905,"TX"
"00190",36.566677661849,"VT"
"00191",35.5790557791269,"VT"
"00192",34.8097551064873,"VT"
"00195",31.4100051876101,"WA"
"00197",44.2870882721735,"AZ"
"00199",50.6928794422619,"AZ"
"00501",39.0985258312065,"NY"
"00544",39.0985258312065,"NY"
"01001",39.4777276126102,"MA"
"01002",38.9897464718648,"MA"
"01003",37.9103368800305,"MA"
"01004",37.8854960612442,"MA"
"01005",40.3748782259818,"MA"
"01007",41.5917735012536,"MA"
"01008",39.7206090080544,"MA"
"01009",39.3898577887025,"MA"
"01010",40.4415037488201,"MA"
"01011",39.6190927008431,"MA"
"01012",39.4997313519122,"MA"
"01013",39.1093391667264,"MA"
"01014",37.2189762299533,"MA"
"01020",39.3409630491783,"MA"
"01021",37.228983280149,"MA"
"01022",40.0343657711178,"MA"
"01026",39.4395840377872,"MA"
"01027",39.4836560147018,"MA"
"01028",39.8260955773063,"MA"
"01029",37.1116762162676,"MA"
"01030",39.6510937861237,"MA"
"01031",41.5872726310631,"MA"
"01032",38.74164687493,"MA"
"01033",40.0332423182211,"MA"
"01034",40.0892552363809,"MA"
"01035",38.0302475352102,"MA"
"01036",40.589829780003,"MA"
"01037",37.3108261103437,"MA"
"01038",37.7759329437648,"MA"
"01039",38.1253616667243,"MA"
"01040",39.5537124819829,"MA"
"01041",37.2355358201204,"MA"
"01050",39.5786303250409,"MA"
"01053",38.2773695623757,"MA"
"01054",38.4019758391878,"MA"
"01056",40.0931578321867,"MA"
"01057",40.7406059934718,"MA"
"01059",37.7331641871486,"MA"
"01060",38.1601027165732,"MA"
"01061",37.5567251004082,"MA"
"01062",38.4457276422646,"MA"
"01066",38.2989977092964,"MA"
"01068",40.4249778181156,"MA"
"01069",41.1844264222331,"MA"
"01070",40.1497314736117,"MA"
"01071",39.719801768773,"MA"
"01072",39.2182302884867,"MA"
"01073",39.5679379228884,"MA"
"01074",37.2082909652,"MA"
"01075",39.4059586057639,"MA"
"01077",39.4794752984545,"MA"
"01079",38.1342234366172,"MA"
"01080",40.9875561526503,"MA"
"01081",40.25734047165,"MA"
"01082",42.3169782056104,"MA"
"01083",38.7457077323801,"MA"
"01084",39.3412894648403,"MA"
"01085",39.6505974418925,"MA"
"01086",37.1472742445809,"MA"
"01088",37.5940572737417,"MA"
"01089",39.6285462155561,"MA"
"01090",37.2157283525993,"MA"
"01092",41.4578798594231,"MA"
"01093",37.7607999643735,"MA"
"01094",36.2065321540896,"MA"
"01095",40.0839360559408,"MA"
"01096",38.7614526443127,"MA"
"01097",37.1564282981802,"MA"
"01098",39.7292774872208,"MA"
"01101",39.2331998172312,"MA"
"01102",39.2331998172312,"MA"
"01103",38.6859470743562,"MA"
"01104",39.1394403680078,"MA"
"01105",39.3708003984454,"MA"
"01106",39.5652310116887,"MA"
"01107",39.1820926352827,"MA"
"01108",39.459159123649,"MA"
"01109",39.7501265842249,"MA"
"01111",37.2086420783036,"MA"
"01114",37.1909103027113,"MA"
"01115",39.2331998172312,"MA"
"01116",37.1622090569601,"MA"
"01118",39.5980229973099,"MA"
"01119",39.6688896789674,"MA"
"01128",39.676020133256,"MA"
"01129",39.4878842820397,"MA"
"01133",37.1909103027113,"MA"
"01138",37.1843815021081,"MA"
"01139",37.2083238172551,"MA"
"01144",39.2331998172312,"MA"
"01151",39.239163023602,"MA"
"01152",37.2278511133356,"MA"
"01195",39.2331998172312,"MA"
"01199",37.1909103027113,"MA"
"01201",40.1502250090164,"MA"
"01202",37.2286047648566,"MA"
"01203",37.2286047648566,"MA"
"01220",42.0843164130509,"MA"
"01222",39.8142528196768,"MA"
"01223",39.9081570213878,"MA"
"01224",39.9370801212344,"MA"
"01225",41.4217573743486,"MA"
"01226",40.5851044530864,"MA"
"01227",37.4230992698735,"MA"
"01229",37.1274960185937,"MA"
"01230",39.5522856544819,"MA"
"01235",40.121665413091,"MA"
"01236",39.0539983479499,"MA"
"01237",41.7953775482707,"MA"
"01238",39.2898260038016,"MA"
"01240",39.342015164265,"MA"
"01242",37.1518946594857,"MA"
"01243",39.8734467422718,"MA"
"01244",37.1116845773468,"MA"
"01245",40.1726259381465,"MA"
"01247",41.5724066520549,"MA"
"01252",37.1011004720174,"MA"
"01253",39.4107093139521,"MA"
"01254",39.2015842516602,"MA"
"01255",40.3379224280244,"MA"
"01256",41.4506907263143,"MA"
"01257",39.436033473171,"MA"
"01258",40.7980337927778,"MA"
"01259",40.6120076460275,"MA"
"01260",37.1359687251701,"MA"
"01262",38.8519850302907,"MA"
"01263",37.1361659348038,"MA"
"01264",37.1233116545882,"MA"
"01266",39.184889500914,"MA"
"01267",41.8338833196263,"MA"
"01270",40.7893131701833,"MA"
"01301",38.0862503466296,"MA"
"01302",37.8776563306594,"MA"
"01330",39.3555102141525,"MA"
"01331",39.1434521015748,"MA"
"01337",38.501286975317,"MA"
"01338",38.9269042568507,"MA"
"01339",40.4142233599504,"MA"
"01340",39.4375429360438,"MA"
"01341",38.5945529815041,"MA"
"01342",38.2466894563697,"MA"
"01343",41.1792019523936,"MA"
"01344",38.8115749974766,"MA"
"01346",40.3035737492507,"MA"
"01347",37.6465777623323,"MA"
"01349",38.2718015919571,"MA"
"01350",41.426639816132,"MA"
"01351",38.4897615985433,"MA"
"01354",38.4500158038395,"MA"
"01355",40.6194678619435,"MA"
"01360",38.3896805842633,"MA"
"01364",38.6509568239785,"MA"
"01366",40.7635141091712,"MA"
"01367",40.8684893213636,"MA"
"01368",38.2399429145124,"MA"
"01370",39.1785447824074,"MA"
"01373",37.6720740285713,"MA"
"01375",37.9706750778702,"MA"
"01376",38.4960458506373,"MA"
"01378",38.5033755955969,"MA"
"01379",39.1638476159954,"MA"
"01380",39.3107000511017,"MA"
"01420",37.4069975833371,"MA"
"01430",38.2816692513774,"MA"
"01431",37.9045047403406,"MA"
"01432",36.3434981664132,"MA"
"01434",36.3799330170871,"MA"
"01436",38.3006431809058,"MA"
"01438",38.0408256090829,"MA"
"01440",38.2381775591423,"MA"
"01441",38.0905951780765,"MA"
"01450",36.6344466412079,"MA"
"01451",36.1220618740133,"MA"
"01452",39.311458123954,"MA"
"01453",37.1451927348927,"MA"
"01460",35.9177456677796,"MA"
"01462",37.1093654872686,"MA"
"01463",36.8896421689513,"MA"
"01464",36.6679487315096,"MA"
"01467",34.7981786894662,"MA"
"01468",38.8406910231949,"MA"
"01469",37.0595813124317,"MA"
"01471",34.2617900007744,"MA"
"01472",35.275575752349,"MA"
"01473",38.2444707019113,"MA"
"01474",37.1868461262901,"MA"
"01475",38.2648144963023,"MA"
"01477",37.3349557275704,"MA"
"01501",38.2451631500775,"MA"
"01503",36.3058375360863,"MA"
"01504",36.5345846727022,"MA"
"01505",37.7147823562847,"MA"
"01506",40.3560998637773,"MA"
"01507",38.8244385537852,"MA"
"01508",37.8773410254357,"MA"
"01509",35.6694999166025,"MA"
"01510",36.7985267789311,"MA"
"01515",39.9121482797919,"MA"
"01516",37.7479994697261,"MA"
