"ZIP","ozone","STATE"
"00012",43.4272319212014,"CA"
"00014",46.3729211143163,"AZ"
"00015",48.9185014441494,"AZ"
"00016",54.631365368655,"CA"
"00017",53.6537541643604,"CA"
"00018",50.5889197765041,"CA"
"00019",43.7563564960313,"CA"
"00020",51.4309789839761,"CA"
"00022",29.841404666586,"CA"
"00026",55.9339713222055,"CA"
"00027",51.766135336806,"CO"
"00028",44.0701760417438,"CA"
"00029",47.9011683209769,"CA"
"00031",44.0098978894873,"CA"
"00032",45.4567423979068,"CA"
"00033",45.468798299697,"CA"
"00034",42.4754814408225,"CA"
"00035",42.4675640815365,"CA"
"00037",40.3002033824774,"CA"
"00038",43.5797160915945,"CA"
"00039",40.1891275382509,"CA"
"00040",52.1330867500942,"CA"
"00041",32.7768676175424,"FL"
"00042",36.6040917773413,"FL"
"00043",34.1124187356998,"FL"
"00044",49.5987601663757,"CA"
"00045",37.523492909556,"FL"
"00047",39.9051118855871,"CA"
"00048",38.064948109184,"CA"
"00049",41.2796854251319,"CA"
"00050",41.3299890717823,"CA"
"00051",50.7484285059394,"CA"
"00052",49.3002711848233,"CA"
"00053",33.2525835721402,"FL"
"00054",40.3326878280537,"CA"
"00055",42.6741029094205,"CA"
"00056",43.0392892407532,"ID"
"00057",41.3833018498549,"CA"
"00058",51.6700476041146,"CA"
"00059",38.1661157052295,"MN"
"00060",37.0095377794154,"MN"
"00061",44.079982105582,"CA"
"00063",40.8451564625862,"MT"
"00064",49.4555005787107,"NM"
"00065",47.1487489785061,"CA"
"00066",46.3200985589057,"NM"
"00067",42.808901639956,"OK"
"00068",38.4510447606346,"OR"
"00069",40.692372467762,"OR"
"00070",39.0800118886603,"OR"
"00071",49.6085977547355,"UT"
"00072",37.1726739531559,"WA"
"00073",38.7674914549833,"WA"
"00074",39.7603721379012,"WA"
"00075",47.162631491389,"MT"
"00076",37.3046395384569,"WA"
"00077",39.3382307496259,"OR"
"00078",47.2902657895589,"ID"
"00082",38.1228975492509,"VT"
"00083",28.0521635232814,"NY"
"00084",38.4490681457688,"NC"
"00087",37.446920681795,"FL"
"00097",34.3612704905747,"FL"
"00098",34.2363544564401,"FL"
"00100",51.9292665027622,"UT"
"00116",39.2335324066535,"LA"
"00119",39.7585193714548,"LA"
"00120",39.7506744221089,"LA"
"00121",39.370185476474,"LA"
"00122",40.6819428276723,"LA"
"00125",36.3379308922615,"ME"
"00126",38.0063295284136,"ME"
"00127",37.4122234438024,"ME"
"00128",36.6715003068818,"ME"
"00130",36.331383233778,"ME"
"00132",37.389105099814,"ME"
"00133",37.8027119983431,"ME"
"00134",37.133552651096,"ME"
"00135",36.9510383485717,"ME"
"00137",35.2895577954128,"ME"
"00138",36.132939619293,"ME"
"00139",37.9221701970383,"ME"
"00140",38.2058988121466,"ME"
"00141",36.0784185725013,"ME"
"00145",37.3635408340904,"ME"
"00147",38.675506870423,"ME"
"00148",35.4226349935074,"ME"
"00151",35.9480997503087,"ME"
"00152",39.8018492576366,"MD"
"00157",34.2092379686016,"MA"
"00158",39.6588374282383,"MA"
"00159",39.7901429973416,"MA"
"00160",36.6628668045609,"MN"
"00161",35.7923461788407,"MN"
"00164",38.2764968225935,"MN"
"00165",38.3458498806908,"MN"
"00166",38.318978902433,"MN"
"00168",39.1773908277673,"NH"
"00169",37.5972508341654,"NH"
"00170",36.7838800231676,"NH"
"00172",40.9683777315259,"NH"
"00173",42.3677151782108,"NH"
"00174",42.8255774214842,"NH"
"00176",44.1080167552695,"NH"
"00177",38.9841365961511,"NH"
"00179",42.5685481677711,"NH"
"00180",43.4767860968309,"NH"
"00181",41.7368919485463,"NH"
"00182",40.3465211476251,"NH"
"00183",36.3706795449815,"NH"
"00184",35.8336357541922,"NH"
