"ZIP","no2","STATE"
"00012",5.80864230019776,"CA"
"00014",9.86702205359366,"AZ"
"00015",10.5393721420864,"AZ"
"00016",2.48301628872732,"CA"
"00017",2.03901824378388,"CA"
"00018",3.69741306784531,"CA"
"00019",6.18661672120194,"CA"
"00020",2.34426281519037,"CA"
"00022",3.27796975334736,"CA"
"00026",2.87062520936562,"CA"
"00027",9.89568064615644,"CO"
"00028",4.70044259212378,"CA"
"00029",4.43272304263665,"CA"
"00031",6.33423346393506,"CA"
"00032",2.63963948520474,"CA"
"00033",7.17465908879092,"CA"
"00034",1.84113462287885,"CA"
"00035",6.71565462111435,"CA"
"00037",3.30008148629632,"CA"
"00038",7.31923030413914,"CA"
"00039",3.82394089576089,"CA"
"00040",2.66937187914664,"CA"
"00041",10.8350502823107,"FL"
"00042",8.56328787630953,"FL"
"00043",10.7431798297319,"FL"
"00044",2.12865263512018,"CA"
"00045",6.69152675150394,"FL"
"00047",4.15453862251839,"CA"
"00048",4.73289154225413,"CA"
"00049",2.19577772357583,"CA"
"00050",2.08117231174847,"CA"
"00051",5.13026350590648,"CA"
"00052",4.5265247762758,"CA"
"00053",9.83526801210544,"FL"
"00054",3.17789091514596,"CA"
"00055",1.75993825017653,"CA"
"00056",7.92818819308605,"ID"
"00057",6.40281390533525,"CA"
"00058",2.13122437235459,"CA"
"00059",11.2349003264971,"MN"
"00060",11.0773922019186,"MN"
"00061",11.1243485993626,"CA"
"00063",8.58702799605518,"MT"
"00064",5.06771835763035,"NM"
"00065",4.10743582084504,"CA"
"00066",5.58107433019126,"NM"
"00067",9.73332087952903,"OK"
"00068",5.32709177743075,"OR"
"00069",4.85140366529589,"OR"
"00070",8.13046187327287,"OR"
"00071",5.97404857804045,"UT"
"00072",4.73199304261699,"WA"
"00073",6.99494609754831,"WA"
"00074",7.93394011541721,"WA"
"00076",4.20579124767841,"WA"
"00077",6.36222267004197,"OR"
"00084",14.4217838228275,"NC"
"00087",6.97629638702121,"FL"
"00097",10.3749269105214,"FL"
"00098",11.2655875166309,"FL"
"00100",15.7958118068412,"UT"
"00116",13.2778087144154,"LA"
"00119",10.2677936853459,"LA"
"00121",13.8944812553144,"LA"
"00125",5.50375803637616,"ME"
"00126",13.0160411248808,"ME"
"00127",6.26409850888668,"ME"
"00128",14.5237991240134,"ME"
"00130",7.00528385518207,"ME"
"00132",8.64453911557676,"ME"
"00133",13.4547170105618,"ME"
"00134",5.7375841316933,"ME"
"00135",6.87849077760079,"ME"
"00137",4.25835160192053,"ME"
"00138",5.55887723547097,"ME"
"00139",13.9465156668722,"ME"
"00141",6.01927444899924,"ME"
"00148",4.18646152714566,"ME"
"00151",5.71978502564789,"ME"
"00152",7.8023356462473,"MD"
"00158",5.01194197575839,"MA"
"00160",11.6564893474358,"MN"
"00161",14.7143878818791,"MN"
"00164",10.7137731380636,"MN"
"00165",10.8621685685702,"MN"
"00166",10.8312353565852,"MN"
"00168",14.0808528531078,"NH"
"00172",9.33537564077305,"NH"
"00173",13.2123999299139,"NH"
"00174",14.2052194369096,"NH"
"00176",13.5126079430889,"NH"
"00177",17.4355557120053,"NH"
"00179",15.0929033978761,"NH"
"00180",15.8686906308303,"NH"
"00181",14.4326140463026,"NH"
"00182",15.7818944928668,"NH"
"00183",15.70155723427,"NH"
"00184",15.5340260800519,"NH"
"00185",14.3105217501962,"NH"
"00188",6.7315174113994,"TX"
"00195",11.1747397489177,"WA"
"00197",10.7953839440291,"AZ"
"00199",18.1024896742135,"AZ"
"00501",28.2465028347757,"NY"
"00544",28.2465028347757,"NY"
"01001",26.0742342876085,"MA"
"01002",9.8327730853591,"MA"
"01003",11.8858965642122,"MA"
"01004",12.8459795124142,"MA"
"01005",12.1824454569877,"MA"
"01007",8.7862203198588,"MA"
"01008",19.1938386961808,"MA"
"01009",11.0043108247842,"MA"
"01010",14.8676892692129,"MA"
"01011",15.3017851979558,"MA"
"01012",14.6113597682829,"MA"
"01013",24.2991166168962,"MA"
"01014",29.1803177055656,"MA"
"01020",20.6272905681381,"MA"
"01021",24.5274924676924,"MA"
"01022",18.3915357567401,"MA"
"01026",13.2920220729696,"MA"
"01027",15.3666878355508,"MA"
"01028",23.0211551320569,"MA"
"01029",17.8374795323365,"MA"
"01030",22.4816406137884,"MA"
"01031",9.25734002343012,"MA"
"01032",15.1106498827631,"MA"
"01033",14.9015214402158,"MA"
"01034",16.4545287062947,"MA"
"01035",13.3614428570312,"MA"
"01036",16.593879900872,"MA"
"01037",8.85828385341599,"MA"
"01038",12.9152751367983,"MA"
"01039",13.9675149003687,"MA"
"01040",19.4767652329966,"MA"
"01041",19.5838313854549,"MA"
"01050",15.4296306113591,"MA"
"01053",15.305564202952,"MA"
"01054",10.0463604520978,"MA"
"01056",17.3496575559499,"MA"
"01057",15.3471758428715,"MA"
"01059",9.86840782858816,"MA"
"01060",17.3723473172509,"MA"
"01061",18.6343286598772,"MA"
"01062",15.5763410269913,"MA"
"01063",19.0523133227823,"MA"
"01066",17.1080502658532,"MA"
"01068",15.8684588992713,"MA"
"01069",11.6296484860097,"MA"
"01070",13.201625861471,"MA"
"01071",18.2086017211023,"MA"
"01072",9.8074658421363,"MA"
"01073",16.0369730175874,"MA"
"01074",12.6640668281557,"MA"
"01075",16.931048504761,"MA"
"01077",16.3104187920051,"MA"
"01079",10.4052897997005,"MA"
"01080",13.448966094176,"MA"
"01081",15.7432245785695,"MA"
"01082",7.57353149578577,"MA"
"01083",11.6640640899452,"MA"
"01084",14.0264524397213,"MA"
"01085",19.7690014560219,"MA"
"01086",25.4122562890149,"MA"
"01088",14.8708000909611,"MA"
"01089",26.9250975004549,"MA"
"01090",29.2943792714668,"MA"
"01092",10.4840078334144,"MA"
"01093",10.8085582241032,"MA"
"01094",10.0888739246099,"MA"
"01095",19.7833571475349,"MA"
"01096",14.6169429138935,"MA"
"01097",23.6436523144432,"MA"
"01098",13.893998341798,"MA"
"01101",29.6919401992283,"MA"
"01102",29.6919401992283,"MA"
"01103",29.2872119953775,"MA"
"01104",27.7507642239962,"MA"
"01105",30.2557774428227,"MA"
"01106",25.8871205725741,"MA"
"01107",30.8588579265461,"MA"
"01108",28.2882199314248,"MA"
"01109",28.0764764354167,"MA"
"01111",27.87322518561,"MA"
"01115",29.6919401992283,"MA"
"01116",26.6049793260779,"MA"
"01118",27.2516246264087,"MA"
"01119",25.0883073132741,"MA"
"01128",24.7643482954756,"MA"
"01129",23.3418384719579,"MA"
"01138",29.685651425975,"MA"
"01139",28.7713690411063,"MA"
"01144",29.6919401992283,"MA"
"01151",21.4412256900504,"MA"
"01152",21.8761319282208,"MA"
"01199",28.8824837915266,"MA"
"01201",15.6106793943047,"MA"
"01202",19.3337948678312,"MA"
"01203",19.3337948678312,"MA"
"01220",12.4271562868435,"MA"
"01222",9.17830112290295,"MA"
"01223",17.5609433422287,"MA"
"01224",16.8237260299885,"MA"
"01225",13.1815880111683,"MA"
"01226",15.0081244495619,"MA"
"01227",16.719198948027,"MA"
"01229",16.7345312006725,"MA"
"01230",11.969282949441,"MA"
"01235",15.9054716597138,"MA"
"01236",14.6993268072812,"MA"
"01237",13.6888843681968,"MA"
"01238",16.5600393903736,"MA"
"01240",16.7218611840266,"MA"
"01242",17.2858097181459,"MA"
"01243",14.2656830613825,"MA"
"01244",10.5280757226827,"MA"
"01245",14.4659255684101,"MA"
"01247",13.2760210872549,"MA"
"01252",12.6081727965117,"MA"
"01253",18.769494595004,"MA"
"01254",16.4763674631315,"MA"
"01255",13.8719915178439,"MA"
"01256",13.8648204632282,"MA"
"01257",9.44669512519751,"MA"
"01258",9.62240916145622,"MA"
"01259",9.5637133837915,"MA"
"01260",18.6880849171353,"MA"
"01262",16.1562739314816,"MA"
"01263",15.5199825379874,"MA"
"01264",13.8210717686344,"MA"
"01266",15.0002690720596,"MA"
"01267",11.6563054552324,"MA"
"01270",15.0461714559549,"MA"
"01301",12.9601071152752,"MA"
"01302",15.5133108715424,"MA"
"01330",12.2442982720359,"MA"
"01331",12.0136250609601,"MA"
"01337",11.6142050010408,"MA"
"01338",9.44216836028123,"MA"
"01339",11.2250311634932,"MA"
"01340",10.4691039487637,"MA"
"01341",11.1633212823332,"MA"
"01342",11.7781528653115,"MA"
"01343",11.3799181889372,"MA"
"01344",11.3058659757255,"MA"
"01346",10.8711129617281,"MA"
"01347",9.99605773789312,"MA"
"01349",10.9385527223375,"MA"
"01350",13.1531061972534,"MA"
"01351",10.797446244933,"MA"
"01354",10.8997799497517,"MA"
"01355",8.9764421492303,"MA"
"01360",10.5944238989011,"MA"
"01364",10.5472812383385,"MA"
"01366",9.82267913252213,"MA"
"01367",11.164773381546,"MA"
"01368",10.6315645091644,"MA"
"01370",10.6854529020547,"MA"
"01373",12.4141143226687,"MA"
"01375",10.2897207610206,"MA"
"01376",11.9219597553364,"MA"
"01378",10.4438094378901,"MA"
"01379",10.4347178701175,"MA"
"01380",12.1168942990977,"MA"
"01420",13.8164937766754,"MA"
"01430",11.0105663013104,"MA"
"01431",9.58643442098144,"MA"
"01432",14.0229769382324,"MA"
"01434",15.3403186437661,"MA"
"01436",12.9617982841007,"MA"
"01438",15.4105620834584,"MA"
"01440",14.4110724022003,"MA"
"01441",17.0189461167837,"MA"
"01450",12.5032499572661,"MA"
"01451",17.6569945435092,"MA"
"01452",17.5602505446912,"MA"
"01453",19.5624141558576,"MA"
"01460",16.5785880118902,"MA"
"01462",11.8349029719624,"MA"
"01463",10.6397735647071,"MA"
"01464",12.6745625661657,"MA"
"01467",18.9631414632547,"MA"
"01468",15.1456956856531,"MA"
"01469",10.3536295434685,"MA"
"01470",12.7954406275172,"MA"
"01471",13.5286627065388,"MA"
"01472",12.7282314338314,"MA"
"01473",15.8104132294954,"MA"
