STATE,YEAR,ozone,no2,pm25
AL,2000,42.78037588378816,16.8662662682785,16.883714479922414
AL,2001,40.259290693910046,15.333638169342365,13.86472052748374
AL,2002,39.40370238832525,12.184326511895453,13.725559891037395
AL,2003,38.88691312735721,11.301918026030751,13.85567631061518
AL,2004,38.3531350275574,12.52825511355234,13.670881258011692
AL,2005,40.391547792336645,12.140389622666952,14.813664573131453
AL,2006,42.05269454336528,11.501213716165797,13.895369051898186
AL,2007,41.955336840768965,9.988088890530774,13.753539849906094
AL,2008,39.24629571117816,11.056300517291684,11.610798856141278
AL,2009,36.76415052672869,8.804404934609042,11.610798856141278
AL,2010,40.52800435740435,10.224850232037326,11.57733994664585
AL,2011,40.27546380463929,12.117551495630602,11.102992645590229
AL,2012,40.07677459576621,11.855998708272775,10.02993830868498
AL,2013,37.258943518117945,8.559289142924381,8.997407260271755
AL,2014,37.67307783160427,10.507101528590416,9.382145654178531
AL,2015,37.33138330614504,10.247519333012216,8.804739479391024
AL,2016,39.09839906604012,9.747791521115024,8.518221018033504
AR,2000,41.7976531041222,15.001143954910107,13.370421580214773
AR,2001,40.82654494725176,13.236442449882338,12.15419839662352
AR,2002,39.534203096075096,12.809551189684385,11.613237920189494
AR,2003,40.09623840987647,14.011980247663136,11.533869549405926
AR,2004,38.6815131196499,13.396589896284402,11.276884459389263
AR,2005,42.22106028169675,12.739373197176151,13.21039412040366
AR,2006,42.56660007805538,10.45696197043891,11.176770195186624
AR,2007,40.4341213381768,8.661292197013587,11.95058129297545
AR,2008,38.91545336417175,9.809081454649064,10.34012924563986
AR,2009,37.77677086705776,8.609111795461324,10.34012924563986
AR,2010,41.0226991405806,11.224597242184128,11.071588237847958
AR,2011,40.656375473712615,12.4124469782328,10.726136465689056
AR,2012,41.74878388673784,12.43232806630874,9.478579690684596
AR,2013,39.08994256085356,9.597790981576912,8.849479433015805
AR,2014,37.69457060932691,10.511400752604892,8.71148116488682
AR,2015,38.36291923254537,9.194618021164898,8.085110262562122
AR,2016,38.36810191496597,7.718351825772188,7.8460795995491965
AZ,2000,47.215444042846805,36.9192712503973,7.509018281302104
AZ,2001,46.79669508732222,31.94549935362777,7.152821287857751
AZ,2002,47.572540332276304,30.196672353303388,7.516474093814982
AZ,2003,47.40436347303032,27.695414566113744,6.85462681999433
AZ,2004,46.33861324940023,28.38684998078256,6.212806775329684
AZ,2005,45.64399106000484,28.970127767771054,6.100170007792872
AZ,2006,46.86847544291533,26.553282060709023,6.294864913497924
AZ,2007,46.35774054970834,25.915683862679582,7.195495350703005
AZ,2008,46.94605014031892,28.87180467793599,6.90657621458563
AZ,2009,46.28242426173865,24.94586055846018,6.90657621458563
AZ,2010,46.15948559065596,22.667708718186557,5.477260232914143
AZ,2011,47.01431044427939,22.28197453648185,6.427510366274023
AZ,2012,47.41410997248241,23.824969166329577,6.6844142396907165
AZ,2013,47.17101222391744,20.77586713818075,5.587834267215776
AZ,2014,46.79536268451422,23.65676082758447,5.630977450925614
AZ,2015,46.47509407820312,19.984061950553528,4.891893780589854
AZ,2016,47.09667874998398,17.189737043123177,4.862919602671691
CA,2000,39.56034972959301,32.137187460120195,12.883729528598897
CA,2001,40.24282585123835,31.13855486643563,13.109038728068326
CA,2002,41.73744861352877,30.75773188925486,13.293547276950369
CA,2003,41.51798652425008,29.099115163484157,12.047767682342494
CA,2004,41.47880166257763,26.36389508618416,11.546528539391346
CA,2005,39.84095934178713,25.2350664329084,10.393462912855725
CA,2006,41.34900228218917,24.10022578291337,10.37228930278956
CA,2007,40.58312516759881,23.39397235085427,10.369258769058796
CA,2008,42.14253512967448,24.390082019472903,10.7311425769792
CA,2009,40.75332245528026,22.110902240996527,10.7311425769792
CA,2010,39.57699814284107,20.64801161388331,8.273792290422094
CA,2011,40.27000591281606,20.2299727682628,8.738496027499636
CA,2012,41.28554264263752,19.055935632428533,8.476697169968418
CA,2013,40.8720349762634,19.15336458681996,8.9632012451048
CA,2014,41.84625369197741,18.99742424649693,8.447974010433908
CA,2015,42.55494992275807,17.927894643981894,8.24087997788243
CA,2016,42.32675163289519,13.671397496808083,7.134388427615405
CO,2000,43.84176370818568,23.793184098566023,6.160519015579055
CO,2001,43.48472440394333,31.775321270153945,6.476449566753317
CO,2002,44.69816800158105,41.735452998769325,6.4960903549202
CO,2003,45.09693540003722,40.87864658055639,6.343398128863328
CO,2004,43.01809882089274,33.43419507851004,5.678545415248841
CO,2005,44.5758031574534,30.763429446222684,5.902481605135948
CO,2006,46.28500853119477,33.919864327336725,5.862609845887574
CO,2007,44.7621704566779,25.870835076280457,6.362397347427445
CO,2008,45.72308804546353,22.010078356253405,5.478788213303611
CO,2009,44.17779539334451,20.004762934667767,5.478788213303611
CO,2010,45.17850760865099,21.114470173765355,5.177632839218645
CO,2011,47.37771631951596,18.45379119560756,5.121322988419359
CO,2012,47.073967546587646,21.46476232319997,5.509933620940599
CO,2013,46.07588228611064,23.443660994121387,5.344607530909212
CO,2014,44.98154783433715,24.56919382049976,5.023636541252704
CO,2015,45.25653683743821,22.400457132081705,5.074738613525295
CO,2016,46.09216394656319,17.62522099173852,4.526675942551072
CT,2000,36.16289108477618,26.60342016738322,11.159048146898764
CT,2001,39.50486634209571,30.02552642975427,12.237002344162589
CT,2002,39.73021377696659,29.721095026574915,11.290181386024306
CT,2003,37.94529089967603,29.29353979200544,11.883622854641697
CT,2004,36.22444686501877,23.693372324011094,10.285468759977618
CT,2005,38.49566033040141,24.741560216341448,11.205561271936508
CT,2006,37.29365045200007,22.675524273499068,10.036357483271138
