"ZIP","no2","STATE"
"00012",23.5704475331606,"CA"
"00014",11.3419223679784,"AZ"
"00015",15.7235443272336,"AZ"
"00016",32.043430045261,"CA"
"00017",54.0373510524029,"CA"
"00018",20.6271315982746,"CA"
"00019",18.5359679199847,"CA"
"00020",37.6409752439308,"CA"
"00022",5.34519090344452,"CA"
"00026",46.6960831653957,"CA"
"00027",74.7844192412402,"CO"
"00028",22.7259159265302,"CA"
"00029",12.1978452333035,"CA"
"00031",21.7441571278564,"CA"
"00032",11.7368083628394,"CA"
"00033",23.239296401528,"CA"
"00034",18.442311021211,"CA"
"00035",23.0671589165748,"CA"
"00037",19.8014533852574,"CA"
"00038",21.513731118231,"CA"
"00039",17.3338401654912,"CA"
"00040",35.7870124872586,"CA"
"00041",15.3009199687719,"FL"
"00042",13.9206884835708,"FL"
"00043",15.133459041258,"FL"
"00044",19.7353421879253,"CA"
"00045",8.13737620921031,"FL"
"00047",18.2871857957018,"CA"
"00048",15.119092605115,"CA"
"00049",15.3569209647366,"CA"
"00050",13.6439362215522,"CA"
"00051",17.3543536607631,"CA"
"00052",13.8452522888658,"CA"
"00053",17.6752692186509,"FL"
"00054",11.238234074267,"CA"
"00055",17.3477024912038,"CA"
"00056",16.4787782878037,"ID"
"00057",17.1271974724422,"CA"
"00058",25.3119085755243,"CA"
"00059",5.9576281154306,"MN"
"00060",6.96936472448571,"MN"
"00061",29.3628584629979,"CA"
"00063",5.8444410793147,"MT"
"00064",33.3556552890352,"NM"
"00065",21.8591759194158,"CA"
"00066",16.6506467936757,"NM"
"00067",17.0503163331701,"OK"
"00068",6.20298482221491,"OR"
"00069",19.7249927975521,"OR"
"00070",19.730888775805,"OR"
"00071",38.2378362646813,"UT"
"00072",27.2900197830361,"WA"
"00073",13.0969335946459,"WA"
"00074",18.027733018715,"WA"
"00075",20.8285267326955,"MT"
"00076",32.2204696736016,"WA"
"00077",18.8218634909655,"OR"
"00078",19.420610770409,"ID"
"00082",17.7699414014616,"VT"
"00083",35.7539221573232,"NY"
"00084",12.979888014561,"NC"
"00087",13.3226984382017,"FL"
"00097",16.9211573815363,"FL"
"00098",19.525922647831,"FL"
"00100",47.5166022427529,"UT"
"00116",16.3175763947986,"LA"
"00119",16.6976648710315,"LA"
"00120",15.7853934589053,"LA"
"00121",18.7222385957638,"LA"
"00122",10.1033744344337,"LA"
"00125",12.1821065850296,"ME"
"00126",17.6581940935086,"ME"
"00127",4.99821930502707,"ME"
"00128",19.6192296785806,"ME"
"00130",9.34006344391359,"ME"
"00132",12.7178123985336,"ME"
"00133",14.2715249456201,"ME"
"00134",4.44027846777425,"ME"
"00135",11.3170805189221,"ME"
"00137",11.4137628969292,"ME"
"00138",10.2707818377284,"ME"
"00139",18.4035128009354,"ME"
"00140",18.1195532913723,"ME"
"00141",6.36951931169623,"ME"
"00145",12.3096693054149,"ME"
"00147",17.7715682416296,"ME"
"00148",11.0075963977238,"ME"
"00151",4.10292086011318,"ME"
"00152",8.42736546014709,"MD"
"00157",13.663929741303,"MA"
"00158",3.23711451211987,"MA"
"00159",3.28771185545722,"MA"
"00160",7.44410239098084,"MN"
"00161",6.74219359468795,"MN"
"00164",9.55602443366043,"MN"
"00165",11.3504090336529,"MN"
"00166",10.8967942234105,"MN"
"00168",19.7542351649437,"NH"
"00169",17.0215336838892,"NH"
"00170",17.5956860403433,"NH"
"00172",16.3499271233606,"NH"
"00173",21.9242816578466,"NH"
"00174",22.3543131030134,"NH"
"00176",24.3184602328525,"NH"
"00177",26.6169598651307,"NH"
"00179",23.3848277391463,"NH"
"00180",26.9420693941897,"NH"
"00181",20.4626110146088,"NH"
"00182",20.0195962882661,"NH"
"00183",22.4766041248642,"NH"
"00184",22.4112222698297,"NH"
"00185",18.757087982359,"NH"
"00186",19.7845642075574,"NH"
"00187",19.039162264135,"NH"
"00188",18.6869404958812,"TX"
"00190",17.3579115540343,"VT"
"00191",18.6360765831693,"VT"
"00192",17.564655058784,"VT"
"00195",10.4265715267293,"WA"
"00197",14.1120896986283,"AZ"
"00199",17.4171078267615,"AZ"
"00501",32.6341991123582,"NY"
"00544",32.6341991123582,"NY"
"01001",27.9731151062919,"MA"
"01002",13.1048232104312,"MA"
"01003",17.1462315485698,"MA"
"01004",17.9648727849382,"MA"
"01005",15.8092949648812,"MA"
"01007",13.295897260466,"MA"
"01008",22.3084120419396,"MA"
"01009",17.9581800562086,"MA"
"01010",18.6207200043334,"MA"
"01011",20.121922351556,"MA"
"01012",18.3564915304187,"MA"
"01013",32.8725406412783,"MA"
"01014",35.4164277990294,"MA"
"01020",29.52106903535,"MA"
"01021",28.8738083008786,"MA"
"01022",24.7845214715004,"MA"
"01026",18.6131234886555,"MA"
"01027",18.863608381282,"MA"
"01028",28.0772528406038,"MA"
"01029",30.4411833677149,"MA"
"01030",22.7300210021916,"MA"
"01031",12.3681737334866,"MA"
"01032",20.9551228699578,"MA"
"01033",19.0018643424544,"MA"
"01034",18.904207255572,"MA"
"01035",19.936327043488,"MA"
"01036",19.0085357302359,"MA"
"01037",13.8039796683202,"MA"
"01038",19.0750371763647,"MA"
"01039",15.7217753838531,"MA"
"01040",27.7676045805095,"MA"
"01041",30.4237889356645,"MA"
"01050",17.5720003385659,"MA"
"01053",18.8254894272029,"MA"
"01054",11.4641682355973,"MA"
"01056",23.1474820075287,"MA"
"01057",19.2699501938999,"MA"
"01059",18.9614946753286,"MA"
"01060",27.1492804131365,"MA"
"01061",31.4047559030088,"MA"
"01062",19.6080296344862,"MA"
"01066",23.606035958673,"MA"
"01068",18.6502321787815,"MA"
"01069",16.8430710842492,"MA"
"01070",18.5440996461656,"MA"
"01071",20.6342553787457,"MA"
"01072",11.593378944563,"MA"
"01073",19.1797987321999,"MA"
"01074",20.4410470883308,"MA"
"01075",23.7848731664929,"MA"
"01077",19.0288643387299,"MA"
"01079",10.7458636730149,"MA"
"01080",19.9144386756421,"MA"
"01081",19.4351638590857,"MA"
"01082",11.3581510622206,"MA"
"01083",18.7780893741534,"MA"
"01084",16.0579640202754,"MA"
"01085",22.5440697701874,"MA"
"01086",26.7168133645801,"MA"
"01088",17.5208218176888,"MA"
"01089",32.2131272609421,"MA"
"01090",37.8095278414065,"MA"
"01092",13.7640208139493,"MA"
"01093",17.5001418445126,"MA"
"01094",15.8830858223806,"MA"
"01095",24.8294536156101,"MA"
"01096",18.3004086379501,"MA"
"01097",32.3226596900323,"MA"
"01098",17.8487580904134,"MA"
"01101",35.2660155051052,"MA"
"01102",35.2660155051052,"MA"
"01103",35.0620823539307,"MA"
"01104",33.7681016411554,"MA"
"01105",35.751766548005,"MA"
"01106",31.516491051342,"MA"
"01107",36.6644215104059,"MA"
"01108",35.2866082987419,"MA"
"01109",34.7120551297432,"MA"
"01111",35.5417027657904,"MA"
"01114",34.3371567922009,"MA"
"01115",35.2660155051052,"MA"
"01116",31.0155381777268,"MA"
"01118",34.4112331610071,"MA"
"01119",32.5166288323028,"MA"
"01128",30.821989425165,"MA"
"01129",29.7186116016956,"MA"
"01133",34.3371567922009,"MA"
"01138",33.7673765184545,"MA"
"01139",34.6623637687396,"MA"
"01144",35.2660155051052,"MA"
"01151",30.0585915190039,"MA"
"01152",29.2984883352409,"MA"
"01199",34.8581492027562,"MA"
"01201",19.7243994976768,"MA"
"01202",29.1405436850209,"MA"
"01203",29.1405436850209,"MA"
"01220",17.6894633206806,"MA"
"01222",16.5835545447549,"MA"
"01223",20.1394456156199,"MA"
"01224",22.3326168136793,"MA"
"01225",16.4070375114092,"MA"
"01226",18.4071075706673,"MA"
"01227",22.1082190299131,"MA"
"01229",23.6929556930318,"MA"
"01230",16.2943620975994,"MA"
"01235",19.8918704927869,"MA"
"01236",19.897890157014,"MA"
"01237",16.4002155447208,"MA"
"01238",22.0114967838236,"MA"
"01240",21.5258086929805,"MA"
"01242",24.0586329325714,"MA"
"01243",18.2184044276568,"MA"
"01244",11.3997425749752,"MA"
"01245",18.4715628168492,"MA"
"01247",19.0495860586504,"MA"
"01252",16.510478223963,"MA"
"01253",24.1388377426151,"MA"
"01254",20.5080084172788,"MA"
"01255",18.4266046437062,"MA"
"01256",17.2037694057872,"MA"
"01257",15.3219965804561,"MA"
"01258",14.2346510058927,"MA"
"01259",14.2855783372644,"MA"
"01260",31.1106863606993,"MA"
"01262",22.0223255650206,"MA"
"01263",27.6304586612344,"MA"
"01264",15.9496511318711,"MA"
"01266",20.4745252348452,"MA"
"01267",16.5383076610067,"MA"
"01270",19.3032548188646,"MA"
"01301",18.2461788461796,"MA"
"01302",25.359924843845,"MA"
"01330",17.3358867194769,"MA"
"01331",16.4772106442681,"MA"
"01337",14.2027902983404,"MA"
"01338",16.6774793473555,"MA"
"01339",15.1954251703825,"MA"
"01340",13.5477656765407,"MA"
"01341",14.2629827275238,"MA"
"01342",16.0800750586014,"MA"
"01343",16.124893281448,"MA"
"01344",14.4316713753442,"MA"
"01346",15.389682869658,"MA"
"01347",22.5909716376862,"MA"
"01349",15.1736457535497,"MA"
"01350",15.4098769253349,"MA"
"01351",14.0790157113577,"MA"
"01355",12.7543159363617,"MA"
"01360",13.7149442485738,"MA"
"01364",15.9059057692083,"MA"
"01366",14.0614577449033,"MA"
"01367",13.5572316206718,"MA"
"01368",15.5858970772192,"MA"
"01370",14.6317808817211,"MA"
"01373",17.5759868743615,"MA"
"01375",14.3254835591518,"MA"
"01376",15.2145771193697,"MA"
"01378",13.3047412183256,"MA"
"01379",12.5942035069615,"MA"
"01380",14.4063030121775,"MA"
"01420",22.2099948163701,"MA"
"01430",18.6359554866638,"MA"
"01431",17.2378797417595,"MA"
"01432",25.0137712922017,"MA"
"01436",19.4699121215443,"MA"
"01438",26.0593486010282,"MA"
"01440",21.5597280818225,"MA"
"01441",24.5291792203041,"MA"
"01450",22.629184691952,"MA"
"01451",25.8626950460179,"MA"
"01452",20.992608527873,"MA"
"01453",25.1354290141075,"MA"
"01460",27.2065685135468,"MA"
"01462",21.5835321477915,"MA"
"01463",20.7954042142428,"MA"
"01464",22.5241458413471,"MA"
"01467",24.9235540620286,"MA"
"01468",20.6491335854259,"MA"
"01469",18.9342074982263,"MA"
"01471",22.973873532052,"MA"
"01472",23.0274712878368,"MA"
"01473",22.3271171600718,"MA"
"01474",18.4436582768746,"MA"
"01475",17.7037545057966,"MA"
"01477",21.2944961475794,"MA"
"01501",29.6390521878115,"MA"
"01503",26.8133040240589,"MA"
"01504",25.1946902854853,"MA"
"01505",27.1574797595548,"MA"
"01506",18.9684425134159,"MA"
"01507",24.8497358375281,"MA"
"01508",31.4832275734639,"MA"
"01509",28.3199281031937,"MA"
"01510",29.4192697100952,"MA"
"01515",22.0612317867487,"MA"
"01516",23.8272349636475,"MA"
"01517",25.8182645856636,"MA"
"01518",21.1183053239298,"MA"
"01519",26.975477900414,"MA"
"01520",26.4900531762799,"MA"
"01521",19.8678748144232,"MA"
"01522",24.875940053403,"MA"
"01523",25.9879260024177,"MA"
"01524",25.5680901378649,"MA"
"01525",27.6363575624698,"MA"
"01526",25.6059482912479,"MA"
"01527",28.1638569644267,"MA"
"01529",24.7506736503916,"MA"
"01531",14.3173876796731,"MA"
"01532",27.6745739829556,"MA"
"01534",24.6612824453444,"MA"
"01535",18.3932333936952,"MA"
"01536",29.4278700132522,"MA"
"01537",27.1240453778821,"MA"
"01538",26.3437525510391,"MA"
"01540",25.3385316034968,"MA"
"01541",23.5271824547597,"MA"
"01542",26.4408454633575,"MA"
"01543",23.6747213259799,"MA"
"01545",29.834034121684,"MA"
"01546",29.3357841865985,"MA"
"01550",22.3920830548347,"MA"
"01560",26.287852669337,"MA"
"01561",26.4398644118565,"MA"
"01562",23.3115285719787,"MA"
"01564",26.3559928031942,"MA"
"01566",22.87848260755,"MA"
"01568",24.6980681562083,"MA"
"01569",26.1467558111859,"MA"
"01570",26.4617868876241,"MA"
"01571",23.9583208074397,"MA"
"01580",33.1946380726796,"MA"
"01581",28.4744304102011,"MA"
"01582",31.9887123098186,"MA"
"01583",28.6501336605748,"MA"
"01585",14.6369344205572,"MA"
"01586",26.8876199956518,"MA"
"01588",25.4615910852833,"MA"
"01590",25.5137481714972,"MA"
