"ZIP","pm25","STATE"
"00012",4.39351054874704,"CA"
"00014",5.64922769613581,"AZ"
"00015",4.51366502666563,"AZ"
"00016",5.61243855864265,"CA"
"00017",5.24748142585767,"CA"
"00018",7.03532224942706,"CA"
"00019",3.82396585464756,"CA"
"00020",4.86871763692095,"CA"
"00022",5.0492859764605,"CA"
"00026",6.51309784054939,"CA"
"00027",4.02662849695343,"CO"
"00028",4.07018848024203,"CA"
"00029",4.84194305621232,"CA"
"00031",3.70052132201214,"CA"
"00032",4.94799977841027,"CA"
"00033",4.13577553985117,"CA"
"00034",4.1521023685413,"CA"
"00035",4.95991477768087,"CA"
"00037",5.16960556359656,"CA"
"00038",5.28770205575314,"CA"
"00039",4.31843022815499,"CA"
"00040",4.71359621945557,"CA"
"00041",5.69541065704571,"FL"
"00042",7.23216813412794,"FL"
"00043",5.19481538262894,"FL"
"00044",3.20276906045363,"CA"
"00045",8.83296143737385,"FL"
"00047",4.39194692311532,"CA"
"00048",3.72411990664111,"CA"
"00049",2.6667985699072,"CA"
"00050",3.16861416188508,"CA"
"00051",3.28926000405817,"CA"
"00052",3.2093418266386,"CA"
"00053",6.6700740677705,"FL"
"00054",3.49848991858842,"CA"
"00055",3.58560277685144,"CA"
"00056",6.14625917151199,"ID"
"00057",7.78053859857475,"CA"
"00058",4.53170018836453,"CA"
"00059",5.47629431882445,"MN"
"00060",5.4215035307014,"MN"
"00061",11.7517219996813,"CA"
"00063",5.00096944693901,"MT"
"00064",3.47010671686773,"NM"
"00065",3.83638148526574,"CA"
"00066",4.93753235045093,"NM"
"00067",7.19086773457846,"OK"
"00068",3.37185220594041,"OR"
"00069",2.73783164888234,"OR"
"00070",2.09695124102482,"OR"
"00071",3.25798304759708,"UT"
"00072",2.05689586377556,"WA"
"00073",3.97754673064469,"WA"
"00074",3.04846156004972,"WA"
"00075",2.85461373755863,"MT"
"00076",1.78032600933813,"WA"
"00077",2.52221775336921,"OR"
"00078",2.73861982758225,"ID"
"00082",8.07701732227272,"VT"
"00083",14.6380574771719,"NY"
"00084",9.76839957309892,"NC"
"00087",7.27710868130629,"FL"
"00097",5.31891149333286,"FL"
"00098",5.41916076185818,"FL"
"00100",4.91796819638968,"UT"
"00116",8.40021429746785,"LA"
"00119",9.68746545872536,"LA"
"00120",9.85466985018152,"LA"
"00121",5.75506174297276,"LA"
"00122",9.79071603020991,"LA"
"00125",6.41753586649198,"ME"
"00126",8.20322959607482,"ME"
"00127",7.07367623240656,"ME"
"00128",7.88220011848255,"ME"
"00130",7.15448142852886,"ME"
"00132",7.58478666138113,"ME"
"00133",8.52005822291872,"ME"
"00134",6.20510621592963,"ME"
"00135",6.60863633914699,"ME"
"00137",6.04364175174784,"ME"
"00138",6.20377658296151,"ME"
"00139",7.95824392339587,"ME"
"00140",7.79366199876969,"ME"
"00141",7.97424898665153,"ME"
"00145",8.55874346176042,"ME"
"00147",7.69602184951853,"ME"
"00148",6.14324664238158,"ME"
"00151",5.45671252758126,"ME"
"00152",13.4777986032017,"MD"
"00157",10.8278927557305,"MA"
"00158",7.56020500070372,"MA"
"00159",6.72594252063096,"MA"
"00160",5.33579762050491,"MN"
"00161",5.33978827562313,"MN"
"00164",5.32100256157587,"MN"
"00165",5.30846706523836,"MN"
"00166",5.19033253614642,"MN"
"00168",4.92651845982496,"NH"
"00169",7.87192013084191,"NH"
"00170",7.87387024798488,"NH"
"00172",5.2789699103448,"NH"
"00173",4.59616174262725,"NH"
"00174",4.53066246390781,"NH"
"00176",4.47572539933305,"NH"
"00177",4.58486244224275,"NH"
"00179",4.58437820894733,"NH"
"00180",4.16087556380266,"NH"
"00181",4.9964512908649,"NH"
"00182",5.56023730295968,"NH"
"00183",4.96373759179671,"NH"
"00184",5.28089977838372,"NH"
"00185",6.53586579114107,"NH"
"00186",7.24105283646129,"NH"
"00187",7.45759946027121,"NH"
"00188",5.95127890235118,"TX"
"00190",7.6689342277817,"VT"
"00191",7.7194471660389,"VT"
"00192",8.0813120613734,"VT"
"00195",3.21896474563541,"WA"
"00197",6.03667901586906,"AZ"
"00199",5.69091779331097,"AZ"
"00501",11.7985829423354,"NY"
"00544",11.7985829423354,"NY"
"01001",11.9064809492052,"MA"
"01002",8.86634221635668,"MA"
"01003",9.84442586971129,"MA"
"01004",9.70463625419118,"MA"
"01005",9.21615006199889,"MA"
"01007",8.75216132611291,"MA"
"01008",9.94033016417413,"MA"
"01009",9.22477946965181,"MA"
"01010",8.93930052398513,"MA"
"01011",9.95369603945134,"MA"
"01012",9.71412906404622,"MA"
"01013",11.6971646201424,"MA"
"01014",12.4708057031111,"MA"
"01020",10.7966915403687,"MA"
"01021",11.4860362786175,"MA"
"01022",10.2677856051961,"MA"
"01026",9.71640204733472,"MA"
"01027",10.2377372840907,"MA"
"01028",11.6891273581475,"MA"
"01029",9.27633572295119,"MA"
"01030",11.6741844497835,"MA"
"01031",8.90219914785015,"MA"
"01032",9.23505962289532,"MA"
"01033",9.88063728598488,"MA"
"01034",9.85553069145182,"MA"
"01035",9.94053069393786,"MA"
"01036",11.0698465646631,"MA"
"01037",9.01225334791514,"MA"
"01038",10.0713693205745,"MA"
"01039",9.52430900827369,"MA"
"01040",10.8410519502195,"MA"
"01041",11.1885472462585,"MA"
"01050",9.98947372708913,"MA"
"01053",10.1028637498935,"MA"
"01054",9.16372678262057,"MA"
"01056",10.0368570021073,"MA"
"01057",9.96680626977083,"MA"
"01059",10.0529317438446,"MA"
"01060",10.9925155535723,"MA"
"01061",12.425268987083,"MA"
"01062",10.0690866874909,"MA"
"01066",10.8984598004798,"MA"
"01068",9.88519896004181,"MA"
"01069",8.89936554631625,"MA"
"01070",9.49470517882099,"MA"
"01071",10.20993931159,"MA"
"01072",8.85300207391517,"MA"
"01073",10.3369756951162,"MA"
"01074",10.5379052136397,"MA"
"01075",10.422592335761,"MA"
"01077",11.4889052279642,"MA"
"01079",8.81820682756531,"MA"
"01080",9.41276907131627,"MA"
"01081",9.54496388496904,"MA"
"01082",8.66486087284449,"MA"
"01083",9.26496915755309,"MA"
"01084",9.93734445242045,"MA"
"01085",11.0423421276969,"MA"
"01086",11.9089330785526,"MA"
"01088",9.9615367524123,"MA"
"01089",11.7678284331515,"MA"
"01090",12.3227334561988,"MA"
"01092",8.6719885521528,"MA"
"01093",11.3686268884227,"MA"
"01094",10.6380838566949,"MA"
"01095",10.4249491476998,"MA"
"01096",9.35564254937596,"MA"
"01097",11.4875936694105,"MA"
"01098",9.87443130107138,"MA"
"01101",12.9771456348898,"MA"
"01102",12.9771456348898,"MA"
"01103",13.1560246035592,"MA"
"01104",12.1357027068234,"MA"
"01105",12.4611303176329,"MA"
"01106",11.8538667095668,"MA"
"01107",12.8503105553732,"MA"
"01108",12.0299254555786,"MA"
"01109",11.5139737275713,"MA"
"01111",11.6269987152867,"MA"
"01114",12.2431011167774,"MA"
"01115",13.3238344133604,"MA"
"01116",10.9438724436974,"MA"
"01118",11.7305202587048,"MA"
"01119",11.0595795054807,"MA"
"01128",11.1610390774564,"MA"
"01129",10.9488563944165,"MA"
"01133",12.2431011167774,"MA"
"01138",12.296367447374,"MA"
"01139",11.7435300120809,"MA"
"01144",13.3238344133604,"MA"
"01151",11.146042846781,"MA"
