"ZIP","pm25","STATE"
"00012",3.78683534348892,"CA"
"00014",4.27418392274543,"AZ"
"00015",4.49211366906217,"AZ"
"00016",5.3669483866384,"CA"
"00017",3.70362311204088,"CA"
"00018",7.07740163131429,"CA"
"00019",3.28973219176679,"CA"
"00020",3.56615833413139,"CA"
"00022",3.61191026218335,"CA"
"00026",5.36482060804689,"CA"
"00027",3.69415030553319,"CO"
"00028",3.33560958868641,"CA"
"00029",3.87632382592313,"CA"
"00031",3.73890900456429,"CA"
"00032",5.2285839645426,"CA"
"00033",3.29902704975518,"CA"
"00034",3.15167615637884,"CA"
"00035",3.85744296464035,"CA"
"00037",4.10379482422116,"CA"
"00038",4.27630812430733,"CA"
"00039",3.07611269716122,"CA"
"00040",3.91641881850325,"CA"
"00041",6.24782224442031,"FL"
"00042",7.19278976605098,"FL"
"00043",6.07313338238651,"FL"
"00044",3.15116002845857,"CA"
"00045",9.30505125234364,"FL"
"00047",3.81582220007351,"CA"
"00048",3.33594706100734,"CA"
"00049",2.09308087680764,"CA"
"00050",2.5076042364131,"CA"
"00051",3.31229092971457,"CA"
"00052",3.25849116192904,"CA"
"00053",6.77772180639976,"FL"
"00054",2.83902574367901,"CA"
"00055",2.69371286010941,"CA"
"00056",6.06420929810559,"ID"
"00057",8.91101676793154,"CA"
"00058",4.10443827552326,"CA"
"00059",6.30557600038451,"MN"
"00060",5.91779203482729,"MN"
"00061",10.2307556685667,"CA"
"00063",7.49894873638262,"MT"
"00064",4.45494398753329,"NM"
"00065",3.0600348669542,"CA"
"00066",4.81916394645696,"NM"
"00067",8.32925456237231,"OK"
"00068",4.17233578351723,"OR"
"00069",3.07010696288803,"OR"
"00070",2.59647944919125,"OR"
"00071",3.04098720820233,"UT"
"00072",2.52375752734368,"WA"
"00073",5.38816574458949,"WA"
"00074",3.95754365740165,"WA"
"00075",2.96591198463054,"MT"
"00076",3.54105123131098,"WA"
"00077",3.82367784703019,"OR"
"00078",3.06392741441052,"ID"
"00082",6.43611624449368,"VT"
"00083",15.7771560436756,"NY"
"00084",9.22181232447339,"NC"
"00087",7.51906837462437,"FL"
"00097",5.74144403987796,"FL"
"00098",5.94111384287049,"FL"
"00100",3.5875162239155,"UT"
"00116",9.65809789503282,"LA"
"00119",10.7064587669959,"LA"
"00120",10.8093235343221,"LA"
"00121",7.86505928827425,"LA"
"00122",10.9574834943991,"LA"
"00125",5.84527076035321,"ME"
"00126",6.20476053717215,"ME"
"00127",6.89285496345288,"ME"
"00128",5.77906409835863,"ME"
"00130",6.90890491374902,"ME"
"00132",6.39815928447456,"ME"
"00133",6.95149877414576,"ME"
"00134",6.45326682054724,"ME"
"00135",6.20067563878017,"ME"
"00137",5.69315075889836,"ME"
"00138",5.97312568794011,"ME"
"00139",6.04628094651664,"ME"
"00140",5.77174427149339,"ME"
"00141",6.77022600468914,"ME"
"00145",7.16235166768291,"ME"
"00147",5.84652732602948,"ME"
"00148",5.79741079386649,"ME"
"00151",5.99989736866397,"ME"
"00152",11.1816118707278,"MD"
"00157",10.1255798998449,"MA"
"00158",6.92569217993732,"MA"
"00159",7.44479562893307,"MA"
"00160",5.74741022931319,"MN"
"00161",5.68256542254661,"MN"
"00164",5.76947084011134,"MN"
"00165",5.28864012168792,"MN"
"00166",5.58107125574988,"MN"
"00168",3.86804945471838,"NH"
"00169",6.22379809391879,"NH"
"00170",5.98323867999679,"NH"
"00172",4.3827952924437,"NH"
"00173",3.48510646024234,"NH"
"00174",3.51901980192992,"NH"
"00176",3.52915652400302,"NH"
"00177",3.48594520741291,"NH"
"00179",3.44171984514766,"NH"
"00180",3.22564356787351,"NH"
"00181",3.76768496720378,"NH"
"00182",4.05521861238091,"NH"
"00183",3.74553235414459,"NH"
"00184",3.92515887661732,"NH"
"00185",5.43333361422273,"NH"
"00186",5.29639625514468,"NH"
"00187",5.94761091977854,"NH"
"00188",7.79998340127858,"TX"
"00190",6.26436322844889,"VT"
"00191",6.00490515877734,"VT"
"00192",6.2440761392404,"VT"
"00195",3.51194577413668,"WA"
"00197",5.05721976882924,"AZ"
"00199",6.02124965043008,"AZ"
"00501",14.2316582269321,"NY"
"00544",14.2316582269321,"NY"
"01001",11.763825321389,"MA"
"01002",7.75023528404124,"MA"
"01003",8.3852719175912,"MA"
"01004",8.65178076380504,"MA"
"01005",7.86112471771641,"MA"
"01007",7.21610958666731,"MA"
"01008",8.9654412701211,"MA"
"01009",6.9829772286624,"MA"
"01010",7.67065216782051,"MA"
"01011",8.81904670139652,"MA"
"01012",8.81442274855356,"MA"
"01013",11.0479711970975,"MA"
"01014",11.8917378260602,"MA"
"01020",10.2789844823675,"MA"
"01021",10.4792392096056,"MA"
"01022",9.82867259704783,"MA"
"01026",8.63458570684539,"MA"
"01027",9.77966440363369,"MA"
"01028",11.4419642623793,"MA"
"01029",8.44683562725587,"MA"
"01030",11.370988661083,"MA"
"01031",7.35501749455678,"MA"
"01032",8.36898333365272,"MA"
"01033",8.98136816717316,"MA"
"01034",9.52128326793619,"MA"
"01035",8.73479967805649,"MA"
"01036",10.8524078274388,"MA"
"01037",7.23496097788558,"MA"
"01038",8.9042930660479,"MA"
"01039",8.9050055191389,"MA"
"01040",10.1709556012453,"MA"
"01041",10.4728399332273,"MA"
"01050",9.33523706073206,"MA"
"01053",9.58110930487002,"MA"
"01054",8.73824040608316,"MA"
"01056",9.25544937104076,"MA"
"01057",9.34271201225241,"MA"
"01059",8.30509067870293,"MA"
"01060",10.0901646343006,"MA"
"01061",11.9525909799809,"MA"
"01062",9.63358645095343,"MA"
"01066",9.69082935233657,"MA"
"01068",8.80193803891834,"MA"
"01069",7.37454095037463,"MA"
"01070",8.2878762538317,"MA"
"01071",9.43977540911821,"MA"
"01072",8.02039880634054,"MA"
"01073",10.103183988515,"MA"
"01074",8.86336109175805,"MA"
"01075",9.77016612845036,"MA"
"01077",11.1688702109402,"MA"
"01079",7.8131101734115,"MA"
"01080",7.97859879839269,"MA"
"01081",8.9566650333901,"MA"
"01082",7.16999697960285,"MA"
"01083",6.97174156640648,"MA"
"01084",9.10188055989342,"MA"
"01085",10.6652582075866,"MA"
"01086",11.7240470216076,"MA"
"01088",9.2678195095073,"MA"
"01089",11.4152272058298,"MA"
"01090",11.4457957657695,"MA"
"01092",7.13891382491952,"MA"
"01093",9.20807165902314,"MA"
"01094",6.99822164361404,"MA"
"01095",10.2196196597668,"MA"
"01096",8.64451106929975,"MA"
"01097",11.2657262923296,"MA"
"01098",8.80066882001893,"MA"
"01101",11.402817713552,"MA"
"01102",11.402817713552,"MA"
"01103",11.9898168954808,"MA"
"01104",11.5362292573175,"MA"
"01105",11.5862023951351,"MA"
"01106",11.7739495278105,"MA"
"01107",11.9334695600249,"MA"
"01108",11.8231298299706,"MA"
"01109",11.3417049026754,"MA"
"01111",11.5935267481809,"MA"
"01114",11.580673907085,"MA"
"01115",12.8676095453422,"MA"
"01116",10.9323689524118,"MA"
"01118",11.7098895907842,"MA"
"01119",11.325093267846,"MA"
"01128",11.3916840376421,"MA"
"01129",11.197134754656,"MA"
"01133",11.580673907085,"MA"
"01138",11.3079873719748,"MA"
"01139",11.1061321176714,"MA"
"01144",12.8676095453422,"MA"
"01151",10.7068375027495,"MA"
"01152",10.6735191665796,"MA"
"01199",11.580673907085,"MA"
"01201",9.57608590715621,"MA"
"01202",11.6151947980321,"MA"
"01203",11.6151947980321,"MA"
"01220",8.43006410397174,"MA"
"01222",8.52637879635678,"MA"
"01223",7.95448396146317,"MA"
"01224",9.56545327036376,"MA"
"01225",8.75490060400527,"MA"
"01226",8.70433398465588,"MA"
"01227",9.12330098260488,"MA"
"01229",8.99648070404424,"MA"
"01230",9.13086739967876,"MA"
"01235",8.25045548179216,"MA"
"01236",8.91275948452037,"MA"
"01237",8.60699331843039,"MA"
"01238",8.70196075876641,"MA"
"01240",8.88409765099071,"MA"
"01242",9.54224324357902,"MA"
"01243",8.83748500171718,"MA"
"01244",9.3674524335753,"MA"
"01245",8.61870490714761,"MA"
"01247",7.80723252551828,"MA"
"01252",10.1941239848444,"MA"
"01253",8.43734756995207,"MA"
"01254",8.84409448825281,"MA"
"01255",8.50379613748748,"MA"
"01256",7.61077258738993,"MA"
"01257",8.30082330065978,"MA"
"01258",7.91775204557713,"MA"
"01259",8.56006800373968,"MA"
"01260",9.52009225976417,"MA"
"01262",9.11741133721705,"MA"
"01263",9.73637323731124,"MA"
"01264",8.63715450330123,"MA"
"01266",9.1712456208153,"MA"
"01267",8.41417107372329,"MA"
"01270",7.95019343011862,"MA"
"01301",9.71633018986948,"MA"
"01302",11.1392214293721,"MA"
"01330",8.4710823574269,"MA"
"01331",8.02948956125948,"MA"
"01337",9.01090877463944,"MA"
"01338",8.94628962788508,"MA"
"01339",8.14104246230113,"MA"
"01340",8.53329144720428,"MA"
"01341",9.02262145396817,"MA"
"01342",9.56098420682846,"MA"
"01343",7.47410617533307,"MA"
"01344",8.73421315654475,"MA"
"01346",8.1534240338624,"MA"
"01347",9.39855387323415,"MA"
"01349",9.12170628964998,"MA"
"01350",6.57563162397509,"MA"
"01351",9.23677779226587,"MA"
"01355",7.50420193265641,"MA"
"01360",9.22987612882051,"MA"
"01364",8.71153630711581,"MA"
"01366",7.28495144179724,"MA"
"01367",7.47178894015906,"MA"
"01368",8.0587140425067,"MA"
"01370",8.92088508408352,"MA"
"01373",9.75676392486342,"MA"
"01375",9.31056018672173,"MA"
"01376",9.41584587674222,"MA"
"01378",8.79455514492897,"MA"
"01379",8.85666046738931,"MA"
"01380",8.43247529892021,"MA"
"01420",9.29022148919487,"MA"
"01430",8.23083027289612,"MA"
"01431",8.47006738884894,"MA"
"01432",9.26020735847569,"MA"
"01436",8.03119933372058,"MA"
"01438",9.16923466327509,"MA"
"01440",8.6602914625081,"MA"
"01441",9.72936516019938,"MA"
"01450",9.4421106736134,"MA"
"01451",8.24095556877563,"MA"
"01452",8.60985283632653,"MA"
"01453",9.29532192661515,"MA"
"01460",8.67346915559292,"MA"
"01462",9.19860714207642,"MA"
"01463",9.64955112837857,"MA"
"01464",9.19637543037946,"MA"
"01467",8.21610055697969,"MA"
"01468",8.2296093159094,"MA"
"01469",9.41534929740327,"MA"
"01471",10.8063067132849,"MA"
"01472",9.6847636510873,"MA"
"01473",8.63779717441763,"MA"
"01474",9.19664461012701,"MA"
"01475",7.73607392620738,"MA"
"01477",7.09973035795128,"MA"
"01501",10.5760179269568,"MA"
"01503",8.4944363266257,"MA"
"01504",9.57797816661158,"MA"
"01505",9.56371720160358,"MA"
"01506",7.86857753031581,"MA"
"01507",9.78674004365632,"MA"
"01508",10.4785217842407,"MA"
"01509",9.43940883137898,"MA"
"01510",9.72807563628703,"MA"
"01515",9.12519209139855,"MA"
"01516",9.01046411930318,"MA"
"01517",8.02520902622916,"MA"
"01518",8.36631162566498,"MA"
"01519",10.231134602045,"MA"
"01520",9.562674261071,"MA"
"01521",8.81217760709479,"MA"
"01522",9.42172624951297,"MA"
"01523",8.88917070313733,"MA"
"01524",9.47147644025384,"MA"
"01525",10.4317816826394,"MA"
"01526",9.77980746850678,"MA"
"01527",10.5144474462033,"MA"
"01529",9.03590397421376,"MA"
"01531",7.57032963800269,"MA"
"01532",9.96479604883403,"MA"
"01534",10.0290914133976,"MA"
"01535",8.4942196198114,"MA"
"01536",10.5121628124492,"MA"
"01537",9.82759889708741,"MA"
"01538",9.47420762359679,"MA"
"01540",10.12270962079,"MA"
"01541",8.71392712206629,"MA"
"01542",9.66732277272778,"MA"
"01543",9.21757031697139,"MA"
"01545",10.6707845315219,"MA"
"01546",11.5513228997318,"MA"
"01550",9.50780483961677,"MA"
"01560",10.3704908650191,"MA"
"01561",9.61202876725528,"MA"
"01562",9.64877924711626,"MA"
"01564",9.45030683638867,"MA"
"01566",9.05043318706053,"MA"
"01568",9.80096218816659,"MA"
"01569",9.07735719576515,"MA"
"01570",9.7427334422341,"MA"
"01571",9.90146233099011,"MA"
"01580",10.7703936318962,"MA"
"01581",10.0725894300372,"MA"
"01582",9.39337229518439,"MA"
"01583",9.93405459575681,"MA"
"01585",7.31493972527604,"MA"
"01586",11.6103017436202,"MA"
"01588",10.172462124782,"MA"
"01590",9.9922817482626,"MA"
"01601",10.9463521780956,"MA"
"01602",10.7835622794706,"MA"
"01603",11.0243333859849,"MA"
"01604",10.8720706615446,"MA"
"01605",11.1156030580288,"MA"
"01606",11.1202441305835,"MA"
"01607",10.9069605605274,"MA"
"01608",11.2532764418991,"MA"
"01609",10.685285351253,"MA"
"01610",11.2534996056842,"MA"
"01611",9.58884857873017,"MA"
"01612",9.42444434865901,"MA"
"01613",11.1739629723209,"MA"
"01614",11.293674690762,"MA"
"01615",11.5053235289106,"MA"
"01653",11.5053235289106,"MA"
"01654",11.5053235289106,"MA"
"01655",10.9384869537522,"MA"
"01701",8.12900160956405,"MA"
"01702",8.74179657561737,"MA"
"01703",9.08445946397013,"MA"
"01704",7.85862158353603,"MA"
"01705",8.52019813164717,"MA"
"01719",8.16385640943938,"MA"
"01720",8.14473885034167,"MA"
"01721",8.78567237908408,"MA"
"01730",9.61816297078847,"MA"
"01731",9.96543001849444,"MA"
"01740",8.22659678551302,"MA"
"01741",8.99375517459496,"MA"
"01742",8.25629945469785,"MA"
"01745",9.01358519107737,"MA"
"01746",9.81230280464259,"MA"
"01747",10.1702463449355,"MA"
"01748",9.60031976937669,"MA"
"01749",8.31629092793391,"MA"
"01752",8.22580579875732,"MA"
"01754",8.51205934867372,"MA"
"01756",9.49853741753773,"MA"
"01757",10.5889157329335,"MA"
"01760",9.84345168462516,"MA"
"01770",9.68250587438604,"MA"
"01772",8.50450294762264,"MA"
"01773",8.8222932442407,"MA"
"01775",7.99033754911193,"MA"
"01776",8.01085537455702,"MA"
"01778",8.11997457035143,"MA"
"01784",10.707057885152,"MA"
"01801",11.129270470953,"MA"
"01803",10.9625186890453,"MA"
"01805",11.5579676516221,"MA"
"01806",9.66391264263232,"MA"
"01807",9.66391264263232,"MA"
"01808",9.66391264263232,"MA"
"01810",9.62512339143205,"MA"
"01812",9.9867871545192,"MA"
"01813",9.66391264263232,"MA"
"01815",9.66391264263232,"MA"
"01821",9.80118190186077,"MA"
"01822",9.91950482651831,"MA"
"01824",9.92498849516314,"MA"
"01826",9.59373629067136,"MA"
"01827",9.32683412470368,"MA"
"01830",9.47407804613339,"MA"
"01831",9.93612851956208,"MA"
"01832",9.19812667321488,"MA"
"01833",9.24713371095075,"MA"
"01834",8.95888769592917,"MA"
"01835",9.47182540951244,"MA"
"01840",9.67374936261033,"MA"
"01841",9.97614817146126,"MA"
"01842",9.79403898172029,"MA"
"01843",10.0152249754053,"MA"
"01844",9.48392190395978,"MA"
"01845",9.56859197785428,"MA"
"01850",10.0878573569059,"MA"
"01851",10.1058687937054,"MA"
"01852",9.96509259043375,"MA"
"01853",9.90887727411799,"MA"
"01854",9.81225008564766,"MA"
"01860",9.12152521426919,"MA"
"01862",9.84058639867426,"MA"
"01863",10.273692126881,"MA"
"01864",9.35420547928065,"MA"
"01865",9.52513285256475,"MA"
"01866",9.92726112983892,"MA"
"01867",9.25913476225118,"MA"
"01876",9.64513317659396,"MA"
"01879",9.53627911981679,"MA"
"01880",8.95349951509551,"MA"
"01885",9.05730643466426,"MA"
"01886",9.29805027841394,"MA"
"01887",9.86505652034567,"MA"
"01888",9.66391264263232,"MA"
"01889",9.7921978990194,"MA"
"01890",11.7567386458019,"MA"
"01899",9.9867871545192,"MA"
"01902",8.93487114514386,"MA"
"01903",8.87691079996197,"MA"
"01904",8.63962876126725,"MA"
"01905",8.44824222084791,"MA"
"01906",8.46417897642626,"MA"
"01907",8.97384617135948,"MA"
"01908",9.47768132043999,"MA"
"01910",8.60572794924468,"MA"
"01913",9.48612047050829,"MA"
"01915",9.08247448732863,"MA"
"01921",9.33407664320405,"MA"
"01922",9.05980040341935,"MA"
"01923",9.31540728348934,"MA"
"01929",9.12406088001532,"MA"
"01930",9.15775025166041,"MA"
"01931",10.7155203886374,"MA"
"01936",8.8982072523838,"MA"
"01937",9.8562687547622,"MA"
"01938",8.97126592677685,"MA"
"01940",8.88601009383286,"MA"
"01944",9.11170157941202,"MA"
"01945",9.3495603873445,"MA"
"01949",9.25864580584839,"MA"
"01950",9.44335907023657,"MA"
"01951",8.38258149550674,"MA"
"01952",8.69030912223483,"MA"
"01960",9.05297989746621,"MA"
"01961",8.97270835414219,"MA"
"01965",8.29575602454802,"MA"
"01966",9.2468235689449,"MA"
"01969",8.85044250366158,"MA"
"01970",9.04064902088556,"MA"
"01971",9.40080278445561,"MA"
"01982",9.2863627007357,"MA"
"01983",9.29620771747563,"MA"
"01984",8.98278051224079,"MA"
"01985",8.89852102032932,"MA"
"02018",9.79126060916259,"MA"
"02019",10.5546855670153,"MA"
"02020",10.535068023257,"MA"
"02021",9.18937928014225,"MA"
"02025",10.7751701368943,"MA"
"02026",9.70488760149918,"MA"
"02027",9.13654180906958,"MA"
"02030",9.74760628949422,"MA"
"02032",10.1376621891539,"MA"
"02035",10.1394787325817,"MA"
"02038",10.6663101776145,"MA"
"02040",11.126914678358,"MA"
"02041",8.80642323666468,"MA"
"02043",10.5593787247769,"MA"
"02044",11.5125925859197,"MA"
"02045",11.2237428327257,"MA"
"02047",10.00303737941,"MA"
"02048",10.2323015095743,"MA"
"02050",9.73150918480874,"MA"
"02051",9.92048613510816,"MA"
"02052",9.97320550999346,"MA"
"02053",10.2409673387295,"MA"
"02054",10.1427826145831,"MA"
"02055",10.7687762743721,"MA"
"02056",9.81629337163416,"MA"
"02059",8.80642323666468,"MA"
"02060",10.8259801182582,"MA"
"02061",10.441653067662,"MA"
"02062",9.465985765927,"MA"
"02065",9.92048613510816,"MA"
"02066",10.5307344654345,"MA"
"02067",9.65966409089582,"MA"
"02070",10.7564276863177,"MA"
"02071",9.93545337176416,"MA"
"02072",9.76071672829479,"MA"
"02081",9.73580212137391,"MA"
"02090",9.61478775302435,"MA"
"02093",10.3808858538865,"MA"
"02101",13.7985262465147,"MA"
"02102",13.7985262465147,"MA"
"02103",13.7985262465147,"MA"
"02104",13.7985262465147,"MA"
"02105",13.7985262465147,"MA"
"02106",13.7985262465147,"MA"
"02107",13.7985262465147,"MA"
"02109",11.9357081528655,"MA"
"02110",13.7985262465147,"MA"
"02112",13.7985262465147,"MA"
"02114",12.4856607416979,"MA"
"02115",12.9931613601836,"MA"
"02116",13.5359079601926,"MA"
"02117",14.9347264203728,"MA"
"02118",10.4539280635394,"MA"
"02119",11.334077472088,"MA"
"02120",11.0545519420796,"MA"
"02121",11.0874096191191,"MA"
"02122",11.1320638882046,"MA"
"02123",13.9664996768926,"MA"
"02124",10.6031008555711,"MA"
"02125",11.0018577438303,"MA"
"02126",10.6115136038173,"MA"
"02127",11.0904975801538,"MA"
"02128",13.0797799217539,"MA"
"02129",12.1395118585823,"MA"
"02130",11.2957283075092,"MA"
"02131",11.1558467426979,"MA"
"02132",10.4423199666027,"MA"
"02133",14.0033294363879,"MA"
"02134",13.3513954368535,"MA"
"02135",12.6546557167871,"MA"
"02136",9.2647717181986,"MA"
"02137",8.85745498277034,"MA"
"02138",11.7311743724769,"MA"
"02139",12.1416145657444,"MA"
"02140",11.7915079122914,"MA"
"02141",11.8826133367886,"MA"
"02142",12.9993361843241,"MA"
"02143",11.840720517898,"MA"
"02144",11.8870241050913,"MA"
"02145",12.1981733578998,"MA"
"02148",10.920861699017,"MA"
"02149",11.5667964644584,"MA"
"02150",12.9586848348868,"MA"
"02151",11.4329536924974,"MA"
"02152",12.8570803571443,"MA"
"02155",12.0655781635465,"MA"
"02156",12.3078902267459,"MA"
"02163",11.1521254247468,"MA"
"02169",10.5416320032196,"MA"
"02170",10.384091357198,"MA"
"02171",10.3828416614339,"MA"
"02176",9.33567364295929,"MA"
"02180",10.3155296223556,"MA"
"02184",10.1310965150785,"MA"
"02185",11.6522799816917,"MA"
"02186",9.76176874670987,"MA"
"02187",10.3315980108634,"MA"
"02188",10.7593041900961,"MA"
"02189",10.8214017002131,"MA"
"02190",9.94881887909791,"MA"
"02191",11.1278427249784,"MA"
"02196",11.3343242570573,"MA"
"02201",11.5562756300225,"MA"
"02203",14.0033294363879,"MA"
"02204",11.7705911035469,"MA"
"02205",11.3343242570573,"MA"
"02206",11.7705911035469,"MA"
"02207",11.3343242570573,"MA"
"02208",11.3343242570573,"MA"
"02209",11.3343242570573,"MA"
"02210",12.0750248301742,"MA"
"02211",13.7985262465147,"MA"
"02212",13.7985262465147,"MA"
"02215",13.2369716230171,"MA"
"02216",13.7985262465147,"MA"
"02217",14.9347264203728,"MA"
"02222",14.0033294363879,"MA"
"02228",12.5296420853589,"MA"
"02238",11.7744043681597,"MA"
"02239",11.7744043681597,"MA"
"02241",11.3343242570573,"MA"
"02266",11.3343242570573,"MA"
"02269",10.501990089632,"MA"
"02283",11.3343242570573,"MA"
"02284",11.3343242570573,"MA"
"02293",11.3343242570573,"MA"
"02295",14.9347264203728,"MA"
"02297",11.3343242570573,"MA"
"02301",10.3414111333605,"MA"
"02302",10.2335284210552,"MA"
"02303",10.7981879678301,"MA"
"02304",10.1395553853067,"MA"
"02305",10.1395553853067,"MA"
"02322",9.98263477184712,"MA"
"02324",9.74123934833067,"MA"
"02325",10.4160596049686,"MA"
"02327",10.9071587059045,"MA"
"02330",10.3052023607522,"MA"
"02331",9.25392581964564,"MA"
"02332",9.4602525762993,"MA"
"02333",9.83997386515713,"MA"
"02334",9.53159933134709,"MA"
"02337",9.32704023238533,"MA"
"02338",9.95722529366469,"MA"
"02339",10.0858945497163,"MA"
"02340",10.232475338265,"MA"
"02341",9.88992166598958,"MA"
"02343",9.64195056621443,"MA"
"02344",11.2490954741385,"MA"
"02345",9.41036696496109,"MA"
"02346",9.82075810881235,"MA"
"02347",9.81653065368818,"MA"
"02348",9.40073397031971,"MA"
"02349",10.0061513673466,"MA"
"02350",10.3735326243789,"MA"
"02351",9.85782819734863,"MA"
"02355",10.2189256673588,"MA"
"02356",9.83323864855615,"MA"
"02357",10.4502501296102,"MA"
"02358",9.52249902614219,"MA"
"02359",10.1014177318852,"MA"
"02360",9.99029632498269,"MA"
"02361",10.0939044265196,"MA"
"02362",9.9797899221777,"MA"
"02364",9.91994290968714,"MA"
"02366",10.4916860512278,"MA"
"02367",9.72227349707953,"MA"
"02368",9.42581699222088,"MA"
"02370",9.94528858789681,"MA"
"02375",9.61065956788357,"MA"
"02379",9.56145615621199,"MA"
"02381",9.71167379623428,"MA"
"02382",10.3506538449976,"MA"
"02420",11.9084054129459,"MA"
"02421",11.8432268716937,"MA"
"02445",11.9785169588378,"MA"
"02446",12.3696806882376,"MA"
