State,Year,Population
RI,2005,3569463
SC,2005,12410722
SD,2005,1074579
TN,2005,4210921
TX,2005,770396
UT,2005,5910809
VT,2005,22394023
VA,2005,2401580
WA,2005,619920
WV,2005,7475575
WI,2005,6178645
WY,2005,1816438
AK,2006,4569805
AZ,2006,666946
AR,2006,5839077
CA,2006,2781097
CO,2006,35827943
CT,2006,4631888
DE,2006,3506956
FL,2006,845150
GA,2006,567136
HI,2006,17842038
ID,2006,8925922
IL,2006,1292729
IN,2006,1428241
IA,2006,12609903
KS,2006,6278616
KY,2006,2964454
LA,2006,2745299
ME,2006,4182742
MD,2006,4576628
MA,2006,1318787
MI,2006,5592379
MN,2006,6403290
MS,2006,10051137
MO,2006,5119598
MT,2006,2905943
NE,2006,5790300
NV,2006,940102
NH,2006,1761497
NJ,2006,2432143
NM,2006,1298492
NY,2006,8651974
NC,2006,1932274
ND,2006,19132610
OH,2006,8705407
OK,2006,646089
OR,2006,11463320
PA,2006,3548597
RI,2006,3613202
SC,2006,12449990
SD,2006,1067916
TN,2006,4270150
TX,2006,775493
UT,2006,5991057
VT,2006,22778123
VA,2006,2457719
WA,2006,621215
WV,2006,7577105
WI,2006,6257305
WY,2006,1820492
AK,2007,4628981
AZ,2007,675302
AR,2007,6029141
CA,2007,2821761
CO,2007,36021202
CT,2007,4720423
DE,2007,3517460
FL,2007,859268
GA,2007,570681
HI,2007,18166990
ID,2007,9155813
IL,2007,1309731
IN,2007,1468669
IA,2007,12643955
KS,2007,6332669
KY,2007,2982644
LA,2007,2762931
ME,2007,4219239
MD,2007,4302665
MA,2007,1323619
MI,2007,5627367
MN,2007,6410084
MS,2007,10036081
MO,2007,5163555
MT,2007,2904978
NE,2007,5842704
NV,2007,952692
NH,2007,1772693
NJ,2007,2522658
NM,2007,1308389
NY,2007,8661679
NC,2007,1962137
ND,2007,19104631
OH,2007,8917270
OK,2007,649422
OR,2007,11481213
PA,2007,3594090
RI,2007,3670883
SC,2007,12510809
SD,2007,1063096
TN,2007,4357847
TX,2007,783033
UT,2007,6088766
VT,2007,23359580
VA,2007,2525507
WA,2007,622892
WV,2007,7673725
WI,2007,6370753
WY,2007,1827912
AK,2008,4672840
AZ,2008,680300
AR,2008,6167681
CA,2008,2848650
CO,2008,36250311
CT,2008,4803868
DE,2008,3527270
FL,2008,871749
GA,2008,574404
HI,2008,18367842
ID,2008,9349988
IL,2008,1315675
IN,2008,1505105
IA,2008,12695866
KS,2008,6379599
KY,2008,2999212
LA,2008,2783785
ME,2008,4256672
MD,2008,4375581
MA,2008,1327040
MI,2008,5653408
MN,2008,6431559
MS,2008,10001284
MO,2008,5207203
MT,2008,2928350
NE,2008,5887612
NV,2008,964706
NH,2008,1783440
NJ,2008,2601072
NM,2008,1312540
NY,2008,8677885
NC,2008,1990070
ND,2008,19132335
OH,2008,9118037
OK,2008,652822
OR,2008,11500468
PA,2008,3634349
RI,2008,3722417
SC,2008,12563937
SD,2008,1057315
TN,2008,4444110
TX,2008,791623
UT,2008,6175727
VT,2008,23831983
VA,2008,2597746
WA,2008,623481
WV,2008,7751000
WI,2008,6461587
WY,2008,1834052
AK,2009,4718206
AZ,2009,687455
AR,2009,6280362
CA,2009,2874554
CO,2009,36604337
CT,2009,4889730
DE,2009,3545579
FL,2009,883874
GA,2009,580236
HI,2009,18527305
ID,2009,9504843
IL,2009,1332213
IN,2009,1534320
IA,2009,12747038
KS,2009,6424806
KY,2009,3016734
LA,2009,2808076
ME,2009,4289878
MD,2009,4435586
MA,2009,1330509
MI,2009,5684965
MN,2009,6468967
MS,2009,9946889
MO,2009,5247018
MT,2009,2947806
NE,2009,5923916
NV,2009,976415
NH,2009,1796378
NJ,2009,2653630
NM,2009,1315906
NY,2009,8711090
NC,2009,2010662
ND,2009,19212436
OH,2009,9309449
OK,2009,657569
OR,2009,11515391
PA,2009,3668976
RI,2009,3768748
SC,2009,12612285
SD,2009,1055003
TN,2009,4528996
TX,2009,799124
UT,2009,6247411
VT,2009,24309039
VA,2009,2663029
WA,2009,624151
