,State,Year,gas_data
1650,AL,2000,18.99799287740212
1651,AK,2000,22.37663985433311
1652,AZ,2000,10.99037122438762
1653,AR,2000,13.25803053073519
1654,CA,2000,128.3599308631009
1655,CO,2000,19.39134579793838
1656,CT,2000,8.605193969061755
1657,DE,2000,2.597793674410874
1658,DC,2000,1.823982086666667
1659,FL,2000,30.18788430246838
1660,GA,2000,21.94002036246953
1661,HI,2000,0.1564683586217103
1662,ID,2000,3.872187007491213
1663,IL,2000,55.13117926493697
1664,IN,2000,30.27996422459563
1665,IA,2000,12.15480013133442
1666,KS,2000,16.36354619394867
1667,KY,2000,12.160222848798
1668,LA,2000,83.37927085844048
1669,ME,2000,2.512571998594856
1670,MD,2000,11.53706245086309
1671,MA,2000,18.78897517565683
1672,MI,2000,51.59834574140625
1673,MN,2000,19.23284510165286
1674,MS,2000,16.24997645197699
1675,MO,2000,15.16531479661573
1676,MT,2000,3.625840716509359
1677,NE,2000,6.654719284556698
1678,NV,2000,10.27104634386496
1679,NH,2000,1.378453916709526
1680,NJ,2000,33.01478189091071
1681,NM,2000,13.47998425150843
1682,NY,2000,67.6503765001424
1683,NC,2000,12.50306030018792
1684,ND,2000,3.043800486307804
1685,OH,2000,48.39026986458714
1686,OK,2000,28.43498443286816
1687,OR,2000,12.06129462780213
1688,PA,2000,38.00089689787034
1689,RI,2000,4.849332046563759
1690,SC,2000,8.513762351903532
1691,SD,2000,2.009897463549174
1692,TN,2000,14.56204657992435
1693,TX,2000,235.340211987044
1694,UT,2000,9.036958806176772
1695,VT,2000,0.5500582283999185
1696,VA,2000,14.56227434876439
1697,WA,2000,15.5740618405096
1698,WV,2000,8.230228316478575
1699,WI,2000,20.71672897868059
1700,WY,2000,5.459952679934116
1705,AL,2001,17.78062644372165
1706,AK,2001,20.99598756918365
1707,AZ,2001,12.90283309834859
1708,AR,2001,11.94748701732851
1709,CA,2001,131.3555313665219
1710,CO,2001,24.43307846848502
1711,CT,2001,7.849249097151222
1712,DE,2001,2.692667015621051
1713,DC,2001,1.62113952
1714,FL,2001,29.93567333160574
1715,GA,2001,18.85338358824035
1716,HI,2001,0.1533630200042089
1717,ID,2001,4.255448328476124
1718,IL,2001,50.71670102147108
1719,IN,2001,26.5605934078059
1720,IA,2001,11.69643082648122
1721,KS,2001,14.21271355555337
1722,KY,2001,11.22308232334848
1723,LA,2001,68.86932292239615
1724,ME,2001,5.331128770297862
1725,MD,2001,9.732363386278939
1726,MA,2001,19.0811084031891
1727,MI,2001,48.60177189011281
1728,MN,2001,18.04501160739321
1729,MS,2001,17.7957674730029
1730,MO,2001,15.12219659035816
1731,MT,2001,3.460239528462939
1732,NE,2001,6.469656298243071
1733,NV,2001,9.579159981033486
1734,NH,2001,1.29313815615029
1735,NJ,2001,30.82424449131812
1736,NM,2001,13.48325414945485
1737,NY,2001,63.70395997254074
1738,NC,2001,11.18648401758585
1739,ND,2001,3.247048347646639
1740,OH,2001,43.61546902087309
1741,OK,2001,26.27685332601199
1742,OR,2001,12.30343155898864
1743,PA,2001,34.90758749020515
1744,RI,2001,5.209628489667051
1745,SC,2001,7.58464962139403
1746,SD,2001,1.95137781295806
1747,TN,2001,13.74980665171994
1748,TX,2001,226.2032139248589
1749,UT,2001,8.736287031683215
1750,VT,2001,0.4180138505826877
1751,VA,2001,12.89422512455933
1752,WA,2001,16.88934810520277
1753,WV,2001,7.845549580938615
1754,WI,2001,18.89328876287563
1755,WY,2001,5.340171852007596
1760,AL,2002,20.25428639795055
1761,AK,2002,21.46700692615874
1762,AZ,2002,13.49983051127724
1763,AR,2002,12.85309931533556
1764,CA,2002,121.0688274571629
1765,CO,2002,24.16604657411091
1766,CT,2002,9.566272660947782
1767,DE,2002,2.808849820631652
1768,DC,2002,1.78731993
1769,FL,2002,37.38324076817851
1770,GA,2002,20.50022871963663
1771,HI,2002,0.1525286682021202
1772,ID,2002,3.826471986532805
1773,IL,2002,55.70929051703233
1774,IN,2002,28.19171989067953
1775,IA,2002,11.82548982506052
1776,KS,2002,15.9722560404668
1777,KY,2002,12.25719357935159
1778,LA,2002,75.81112002544754
1779,ME,2002,6.639896029126344
1780,MD,2002,10.73037771367803
1781,MA,2002,21.24960288808731
1782,MI,2002,51.62435346088706
1783,MN,2002,19.61796437714577
1784,MS,2002,18.54451381206826
1785,MO,2002,14.63407319648996
1786,MT,2002,3.703704504361932
1787,NE,2002,6.328974584783436
1788,NV,2002,9.575983261427705
1789,NH,2002,1.366638637328437
1790,NJ,2002,32.73086232210773
1791,NM,2002,11.95650283265636
1792,NY,2002,64.8796262574503
1793,NC,2002,12.65179673813822
1794,ND,2002,3.479894957390335
1795,OH,2002,44.98564721614651
1796,OK,2002,27.26658914235736
1797,OR,2002,10.79638418320074
1798,PA,2002,36.63273383526547
1799,RI,2002,4.754564322793119
1800,SC,2002,9.876218214862359
1801,SD,2002,2.176743281743018
1802,TN,2002,13.69259496021133
1803,TX,2002,230.1499765946254
1804,UT,2002,9.01942300754164
1805,VT,2002,0.4382267127023138
1806,VA,2002,13.97077588358411
1807,WA,2002,12.58966405878616
1808,WV,2002,8.109427806203371
1809,WI,2002,20.24750614736177
1810,WY,2002,6.044089393837553
1815,AL,2003,18.7036897916044
1816,AK,2003,21.26161602726835
1817,AZ,2003,14.57928229074919
1818,AR,2003,13.23120380485988
1819,CA,2003,120.92446437685
1820,CO,2003,23.07974583636572
1821,CT,2003,8.284985135772903
1822,DE,2003,2.507577021343278
1823,DC,2003,1.786774
1824,FL,2003,37.72137712684894
