,State,Year,Petroleum
1650,AL,2000,37.39250094889211
1651,,2000,19.63447266016491
1652,AZ,2000,34.43423060431031
1653,AR,2000,24.60153411161078
1654,CA,2000,247.2988344775019
1655,CO,2000,29.18371128835826
1656,CT,2000,30.69277186557145
1657,DE,2000,9.308754626606841
1658,DC,2000,2.472232221106458
1659,FL,2000,136.4586048037436
1660,GA,2000,69.71226216797443
1661,,2000,16.89099264445635
1662,ID,2000,10.52402762650303
1663,IL,2000,83.19100042535277
1664,IN,2000,58.25515190168885
1665,IA,2000,24.83017744626218
1666,KS,2000,24.89340012379185
1667,KY,2000,39.99947104965251
1668,LA,2000,113.138939345434
1669,ME,2000,18.79006818534761
1670,MD,2000,37.24377467648194
1671,MA,2000,52.58915294308456
1672,MI,2000,66.97192313263572
1673,MN,2000,43.32945336884906
1674,MS,2000,31.06513710124354
1675,MO,2000,45.96131340655996
1676,MT,2000,11.31000159785374
1677,NE,2000,15.3129124851732
1678,NV,2000,16.37797873160114
1679,NH,2000,11.8962500702509
1680,NJ,2000,80.63888095715404
1681,NM,2000,15.67995400939252
1682,NY,2000,113.1960245722903
1683,NC,2000,61.77704225557462
1684,ND,2000,7.919091444901602
1685,OH,2000,82.47062259576839
1686,OK,2000,35.44223185857408
1687,OR,2000,25.79135860182352
1688,PA,2000,97.47699093542832
1689,RI,2000,6.911748586423427
1690,SC,2000,32.37110945163754
1691,SD,2000,7.411301605260664
1692,TN,2000,47.07769949355148
1693,TX,2000,290.2826679977301
1694,UT,2000,18.0706453844282
1695,VT,2000,6.231885052179702
1696,VA,2000,60.59479362587246
1697,WA,2000,58.64669931148435
1698,WV,2000,14.48816451102045
1699,WI,2000,39.55564952797624
1700,WY,2000,9.82979400547978
1705,AL,2001,35.47095085262313
1706,,2001,20.04063069417329
1707,AZ,2001,35.56924542232939
1708,AR,2001,24.45411563228609
1709,CA,2001,247.7971586992963
1710,CO,2001,30.75534467397568
1711,CT,2001,29.90586567942942
1712,DE,2001,9.656064943716363
1713,DC,2001,2.391095466037107
1714,FL,2001,138.3157596444404
1715,GA,2001,69.25334480863995
1716,,2001,17.32635215917113
1717,ID,2001,10.24952955179855
1718,IL,2001,80.86733957124105
1719,IN,2001,55.04642621343088
1720,IA,2001,24.31746679896613
1721,KS,2001,23.82817881591048
1722,KY,2001,43.41487642641222
1723,LA,2001,106.9989434485007
1724,ME,2001,16.30521518439938
1725,MD,2001,38.94426542064521
1726,MA,2001,52.52160206028195
1727,MI,2001,65.90347126749471
1728,MN,2001,43.22708100537666
1729,MS,2001,33.11069425658242
1730,MO,2001,49.18314255779244
1731,MT,2001,11.02780978988958
1732,NE,2001,14.85007286183347
1733,NV,2001,17.25856731528983
1734,NH,2001,11.83877032212604
1735,NJ,2001,79.82112243210467
