index,state,year,pm2.5
1,AL,2000,16.883714479922414
2,AL,2001,13.86472052748374
3,AL,2002,13.725559891037397
4,AL,2003,13.855676310615179
5,AL,2004,13.670881258011693
6,AL,2005,14.813664573131451
7,AL,2006,13.895369051898186
8,AL,2007,13.753539849906094
9,AL,2008,11.610798856141278
10,AL,2009,11.610798856141278
11,AL,2010,11.57733994664585
12,AL,2011,11.102992645590229
13,AL,2012,10.029938308684981
14,AL,2013,8.997407260271755
15,AL,2014,9.382145654178533
16,AL,2015,8.804739479391024
17,AL,2016,8.518221018033504
18,AR,2000,13.370421580214773
19,AR,2001,12.15419839662352
20,AR,2002,11.613237920189494
21,AR,2003,11.533869549405926
22,AR,2004,11.276884459389263
23,AR,2005,13.21039412040366
24,AR,2006,11.176770195186624
25,AR,2007,11.95058129297545
26,AR,2008,10.34012924563986
27,AR,2009,10.34012924563986
28,AR,2010,11.071588237847958
29,AR,2011,10.726136465689057
30,AR,2012,9.478579690684597
31,AR,2013,8.849479433015805
32,AR,2014,8.71148116488682
33,AR,2015,8.085110262562122
34,AR,2016,7.8460795995491965
35,AZ,2000,7.509018281302104
36,AZ,2001,7.152821287857751
37,AZ,2002,7.516474093814982
38,AZ,2003,6.85462681999433
39,AZ,2004,6.212806775329684
40,AZ,2005,6.1001700077928716
41,AZ,2006,6.294864913497924
42,AZ,2007,7.195495350703005
43,AZ,2008,6.90657621458563
44,AZ,2009,6.90657621458563
45,AZ,2010,5.477260232914143
46,AZ,2011,6.4275103662740225
47,AZ,2012,6.6844142396907165
48,AZ,2013,5.587834267215776
49,AZ,2014,5.630977450925614
50,AZ,2015,4.891893780589854
51,AZ,2016,4.862919602671691
52,CA,2000,12.883729528598897
53,CA,2001,13.109038728068326
54,CA,2002,13.293547276950369
55,CA,2003,12.047767682342494
56,CA,2004,11.546528539391346
57,CA,2005,10.393462912855725
58,CA,2006,10.37228930278956
59,CA,2007,10.369258769058796
60,CA,2008,10.7311425769792
61,CA,2009,10.7311425769792
62,CA,2010,8.273792290422094
63,CA,2011,8.738496027499636
64,CA,2012,8.476697169968418
65,CA,2013,8.9632012451048
66,CA,2014,8.447974010433908
67,CA,2015,8.24087997788243
68,CA,2016,7.134388427615405
69,CO,2000,6.160519015579055
70,CO,2001,6.476449566753317
71,CO,2002,6.4960903549202
72,CO,2003,6.343398128863328
73,CO,2004,5.678545415248841
74,CO,2005,5.902481605135948
75,CO,2006,5.862609845887574
76,CO,2007,6.362397347427445
77,CO,2008,5.478788213303611
78,CO,2009,5.478788213303611
79,CO,2010,5.177632839218645
80,CO,2011,5.121322988419359
81,CO,2012,5.509933620940599
82,CO,2013,5.344607530909212
83,CO,2014,5.023636541252704
84,CO,2015,5.0747386135252945
85,CO,2016,4.526675942551072
86,CT,2000,11.159048146898765
87,CT,2001,12.237002344162589
88,CT,2002,11.290181386024306
89,CT,2003,11.883622854641695
90,CT,2004,10.285468759977618
91,CT,2005,11.205561271936508
92,CT,2006,10.036357483271138
93,CT,2007,10.238629105303904
94,CT,2008,9.008689855662787
95,CT,2009,9.008689855662787
96,CT,2010,7.531813808112029
97,CT,2011,8.46938361416649
98,CT,2012,7.1921032866531975
99,CT,2013,7.709809234044413
100,CT,2014,7.089808681961736
101,CT,2015,7.375023709614805
102,CT,2016,6.044902876967888
103,DC,2000,15.698372146215043
104,DC,2001,16.540884845337768
105,DC,2002,15.459171881020072
106,DC,2003,14.571517213216103
107,DC,2004,14.552060899370447
108,DC,2005,14.384263526622815
109,DC,2006,13.341579070663148
110,DC,2007,12.511429186842633
111,DC,2008,12.006596656246886
112,DC,2009,12.006596656246886
113,DC,2010,10.942414700492062
114,DC,2011,10.169565357073141
115,DC,2012,9.753517566513372
116,DC,2013,9.298140479513199
117,DC,2014,8.418589986677883
118,DC,2015,8.00417422136268
119,DC,2016,7.6550746365957085
120,DE,2000,14.828981425546807
121,DE,2001,15.997269856729504
122,DE,2002,14.280799012418258
123,DE,2003,13.931513049874125
124,DE,2004,13.97076441287448
125,DE,2005,14.162958354595562
126,DE,2006,13.477125842264261
127,DE,2007,13.107457220476645
128,DE,2008,12.212697337934145
129,DE,2009,12.212697337934145
130,DE,2010,10.607044146061433
131,DE,2011,10.490415062114579
132,DE,2012,9.578386260084741
133,DE,2013,9.051054900613604
134,DE,2014,9.030365321958321
135,DE,2015,8.64466811932234
136,DE,2016,7.1400338197182025
137,FL,2000,11.181058760512531
138,FL,2001,9.899918710720435
139,FL,2002,9.0734574590216
140,FL,2003,9.133385555770642
141,FL,2004,9.762386245816568
142,FL,2005,9.613618944653275
143,FL,2006,9.08824820916812
144,FL,2007,8.942028734749478
