,State,Year,Population,Land Area,Population Density
695,TN,2015,4826858,41235,117.05730568691645
696,TN,2016,4896006,41235,118.73423062931975
697,TX,2000,733133,261232,2.8064440803576898
698,TX,2001,755844,261232,2.893382127763827
699,TX,2002,757972,261232,2.9015281435658724
700,TX,2003,760020,261232,2.9093679181723524
701,TX,2004,763729,261232,2.923566025601764
702,TX,2005,770396,261232,2.9490874012372146
703,TX,2006,775493,261232,2.9685987934096896
704,TX,2007,783033,261232,2.9974620260917497
705,TX,2008,791623,261232,3.030344674465609
706,TX,2009,799124,261232,3.0590586145648313
707,TX,2010,807067,261232,3.0894645372695533
708,TX,2011,816193,261232,3.1243990016537024
709,TX,2012,823740,261232,3.1532890304403747
710,TX,2013,833859,261232,3.192024713664482
711,TX,2014,842751,261232,3.2260634225516016
712,TX,2015,849670,261232,3.252549457953084
713,TX,2016,854663,261232,3.2716627365713236
714,UT,2000,5483535,82170,66.73402701715955
715,UT,2001,5703719,82170,69.41364244858221
716,UT,2002,5750789,82170,69.98647925033467
717,UT,2003,5795918,82170,70.5356942923208
718,UT,2004,5847812,82170,71.167238651576
719,UT,2005,5910809,82170,71.93390531824267
720,UT,2006,5991057,82170,72.9105147864184
721,UT,2007,6088766,82170,74.09962273335768
722,UT,2008,6175727,82170,75.15792868443471
723,UT,2009,6247411,82170,76.03031520019472
724,UT,2010,6306019,82170,76.7435682122429
725,UT,2011,6355518,82170,77.34596568090544
726,UT,2012,6400298,82170,77.89093343069247
727,UT,2013,6455752,82170,78.56580260435682
728,UT,2014,6496943,82170,79.06709261287574
729,UT,2015,6544617,82170,79.64728002920774
730,UT,2016,6595354,82170,80.26474382377997
731,VT,2000,20044141,9217,2174.6925246826518
732,VT,2001,20944499,9217,2272.377020722578
733,VT,2002,21319622,9217,2313.076055115547
734,VT,2003,21690325,9217,2353.295540848432
735,VT,2004,22030931,9217,2390.2496473906913
736,VT,2005,22394023,9217,2429.6433763697514
737,VT,2006,22778123,9217,2471.3163719214494
738,VT,2007,23359580,9217,2534.401649126614
739,VT,2008,23831983,9217,2585.6550938483238
740,VT,2009,24309039,9217,2637.413366605186
741,VT,2010,24801761,9217,2690.87132472605
742,VT,2011,25241897,9217,2738.62395573397
743,VT,2012,25645504,9217,2782.413366605186
744,VT,2013,26084120,9217,2830.00108495172
745,VT,2014,26479646,9217,2872.913746338288
746,VT,2015,26963092,9217,2925.3653032440056
747,VT,2016,27468531,9217,2980.202994466746
748,VA,2000,2129836,39490,53.933552798176756
749,VA,2001,2244502,39490,56.83722461382629
750,VA,2002,2283715,39490,57.83021017979235
751,VA,2003,2324815,39490,58.870979994935425
752,VA,2004,2360137,39490,59.765434287161305
753,VA,2005,2401580,39490,60.814889845530516
754,VA,2006,2457719,39490,62.23649025069638
755,VA,2007,2525507,39490,63.953076728285644
756,VA,2008,2597746,39490,65.78237528488225
757,VA,2009,2663029,39490,67.43552798176754
758,VA,2010,2723421,39490,68.96482653836414
759,VA,2011,2775413,39490,70.2814130159534
760,VA,2012,2814797,39490,71.27872879209927
761,VA,2013,2854146,39490,72.27515826791593
762,VA,2014,2898773,39490,73.40524183337554
763,VA,2015,2938327,39490,74.40686249683465
764,VA,2016,2983626,39490,75.55396302861485
765,WA,2000,593740,66456,8.934332490670519
766,WA,2001,609618,66456,9.17325749368003
767,WA,2002,612223,66456,9.21245636210425
768,WA,2003,615442,66456,9.260894426387384
769,WA,2004,617858,66456,9.297249307812688
770,WA,2005,619920,66456,9.328277356446371
771,WA,2006,621215,66456,9.347763934031539
772,WA,2007,622892,66456,9.372998675815577
773,WA,2008,623481,66456,9.381861682918021
774,WA,2009,624151,66456,9.391943541591429
775,WA,2010,624817,66456,9.401965210063802
776,WA,2011,625886,66456,9.418051041290479
777,WA,2012,627197,66456,9.437778379679788
778,WA,2013,626361,66456,9.425198627663416
779,WA,2014,626603,66456,9.42884013482605
780,WA,2015,625693,66456,9.415146864090525
781,WA,2016,625810,66456,9.416907427470807
782,WV,2000,6872912,24038,285.9186288376737
783,WV,2001,7105817,24038,295.60766286712703
784,WV,2002,7198362,24038,299.4576087860887
785,WV,2003,7286873,24038,303.13973708295197
786,WV,2004,7366977,24038,306.47212746484735
787,WV,2005,7475575,24038,310.98989100590734
788,WV,2006,7577105,24038,315.21362010150597
789,WV,2007,7673725,24038,319.2330892753141
790,WV,2008,7751000,24038,322.44779099758716
791,WV,2009,7833496,24038,325.8796904900574
792,WV,2010,7925937,24038,329.72530992595057
793,WV,2011,8024004,24038,333.80497545552873
794,WV,2012,8102437,24038,337.06785090273735
795,WV,2013,8187456,24038,340.60470921041684
796,WV,2014,8255861,24038,343.4504118479075
797,WV,2015,8315430,24038,345.9285298277727
798,WV,2016,8367303,24038,348.0864880605708
799,WI,2000,5756361,54158,106.28828612578012
800,WI,2001,5910512,54158,109.13460615236899
801,WI,2002,5985722,54158,110.52332065438162
802,WI,2003,6052349,54158,111.75355441486022
803,WI,2004,6104115,54158,112.70938734812955
804,WI,2005,6178645,54158,114.08554599505152
805,WI,2006,6257305,54158,115.53796299715647
806,WI,2007,6370753,54158,117.63272277410539
807,WI,2008,6461587,54158,119.30992651131874
808,WI,2009,6562231,54158,121.16826692270763
809,WI,2010,6667426,54158,123.11063924074006
810,WI,2011,6743009,54158,124.50624099855978
811,WI,2012,6827479,54158,126.06593670371875
812,WI,2013,6898599,54158,127.3791314302596
813,WI,2014,6966252,54158,128.6283097603309
814,WI,2015,7057531,54158,130.3137301968315
815,WI,2016,7167287,54158,132.34031906643526
816,WY,2000,1806928,97093,18.61028086473793
817,WY,2001,1807021,97093,18.611238709278734
818,WY,2002,1801481,97093,18.55418001297725
819,WY,2003,1805414,97093,18.594687567589837
820,WY,2004,1812295,97093,18.665557764205452
821,WY,2005,1816438,97093,18.70822819358759
822,WY,2006,1820492,97093,18.749981976043586
823,WY,2007,1827912,97093,18.826403551234385
824,WY,2008,1834052,97093,18.889641889734584
825,WY,2009,1840310,97093,18.9540955578672
826,WY,2010,1847775,97093,19.0309806062229
827,WY,2011,1854265,97093,19.097823736005687
828,WY,2012,1856606,97093,19.121934639984346
829,WY,2013,1857446,97093,19.130586139062547
830,WY,2014,1854768,97093,19.103004336048944
831,WY,2015,1850569,97093,19.059757140061592
832,WY,2016,1843332,97093,18.985220355741404
